,Clause,Opt-out via contacting company,Dont use service/feature,Opt-out link,Browser/device privacy controls,Unspecified,Opt-in,First-party privacy controls,Other,Third-party privacy controls
19,"By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,do not use any of our Online Services.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Your Options,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,you consent to providing it,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,"If, at any time, you decide you would rather not receive these types of communications from NOTMC, you can opt",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,"the ""opt-out"" or ""unsubscribe"" or ""STOP"" instructions in the relevant communication",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,update the contact preferences for your NOTMC account.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,"You must opt in (i.e., expressly consent)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,please follow the directions in the e-mail or other relevant electronic communication you receive from us.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Please consult your particular Web browser's settings,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,"Your Options for Cookies Web browsers allow some control of most Cookies. Please consult your particular Web browser's settings. You can learn more about Cookies, see what Cookies have been set on your computing device and learn how to manage and delete them at allaboutcookies.org.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,you can edit your browser's options to stop accepting persistent cookies or to prompt you before accepting a cookie from the websites you visit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,you can edit your browser's options to stop accepting persistent cookies or to prompt you before accepting a cookie from the websites you visit.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,edit your browser's options,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,what you decide to give us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,you decide to give us,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,"By visiting Amazon.com, you are accepting the practices described in this Privacy Notice.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,you are accepting the practices,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,What Choices Do I Have?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,You can choose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,Most mobile devices allow you to turn off location services.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,"If you do not want to receive e-mail or other mail from us, please adjust your Customer Communication Preferences.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,If you do not want to receive e-mail or other mail from us,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"If you do not want to receive e-mail or other mail from us, please adjust your Customer Communication Preferences",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. Additionally, you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,"most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,we recommend that you leave them turned on.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,adjust your Customer Communication Preferences,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,"unless, of course, the customer consents otherwise",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48,you will have an opportunity to choose not to share the information.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
49,have an opportunity to choose,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,you will have an opportunity to choose not to share the information,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,you can always choose not to provide information,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,you can always choose,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"always choose not to provide information, even though it might be needed",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,please adjust your Customer Communication Preferences,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
55,adjust your Advertising Preferences .,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,please adjust your Advertising Preferences .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,please adjust your Advertising Preferences,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,The Help feature on most browsers,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,"you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60,"ou can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,"if you block or otherwise reject our cookies,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
62,"browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. Additionally, you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63,"Because cookies allow you to take advantage of some of Amazon.com's essential features, we recommend that you leave them turned on. For instance, if you block or otherwise reject our cookies",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"If you choose to visit Amazon.com,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65,Most mobile devices provide users with the ability to disable location services,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,provide users with the ability to disable location services.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67,egal guardian may request that we deactivate any of your Personal Information in our database and/or opt-out from receiving communications from us.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68,o opt-out o,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,"do not wish to receive any additional marketing material, you can indicate your preference on our store partners order form.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,clicking on a link,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,"For example, you can unsubscribe from any email newsletter list at any time by clicking on a link provided in all email newsletters sent to you.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,"If you purchase a product in our store but do not wish to receive any additional marketing material, you can indicate your preference on our store partners order form.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,"If you do not want to receive e-mail or other mail from us, please use our User Administration pages to adjust your preferences.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,please use our User Administration pages to adjust your preferences.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,"The ""help"" portion of the toolbar on most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. Additionally, you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer. However, because cookies allow you to take full advantage of some of IMDb's essential features, we recommend that you leave them turned on.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76,"The ""help"" portion of the toolbar on most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77,"The ""help"" portion of the toolbar on most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. Additionally, you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
78,": Other than as set out above, you will always receive notice when information about you might go to third parties, and you will have an opportunity to choose not to share the information.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
79,you will have an opportunity to choose not to,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
80,choose not to provide information,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,"As discussed above, you can always choose not to",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82,please adjust your Advertising Preferences.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83,"If you do not want us to use personal information that we gather to allow third parties to personalize advertisements we display to you, please adjust your Advertising Preferences.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84,"""help"" portion of the toolbar on most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
85,"The ""help"" portion of the toolbar on most browsers",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
86,visiting the Web site of its manufacturer.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
87," 5. Your Controls and Choices    We provide you the ability to exercise certain controls and choices regarding our collection, use and sharing of your information. In accordance with local law, your controls and choices may include:     You may correct, update and delete your registration account    You may change your choices for subscriptions, newsletters and alerts    You may choose whether to receive from us offers and promotions for our products and services, or products and services that we think may be of interest to you    You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may request access to the personal information we hold about you and that we amend or delete it  ",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88,"You may choose whether to receive from us offers and promotions for our products and services, or products and services that we think may be of interest to you",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89,"You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,You may request access to the personal information we hold about you and that we amend or delete it,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,we may not be able to deliver certain products and services to you,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,"You may exercise your controls and choices, or request access to your personal information, by visiting Communication Choices, contacting Guest Services, or following instructions provided in communications sent to you.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,"By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
94,"If you do not agree to the terms of this Privacy Policy, please do not use the Site and exit immediately.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,"If you do not provide information to us, you may be unable to use certain features of the Site.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
96,If you do not provide,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
97,"To register your preferences or choices, or to opt out of behavioral advertising offered by participants in these programs, visit http://www.networkadvertising.org or http://www.aboutads.info.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,visit http://www.networkadvertising.org or http://www.aboutads.info.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
99,If you send us,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100,We normally honor requests to,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,If you chose to provide,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
102,"You may terminate any ongoing communications you receive from Miami New Times via e-mail (such as newsletters, subscriptions, contest results, survey inquiries, etc.) by (1) clicking the ""unsubscribe"" link that is available within the communication received,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,through your online profile,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104,"1) clicking the ""unsubscribe"" link that is available within the communication received,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105,(2) through your online profile,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
106,"by (1) clicking the ""unsubscribe"" link that is available within the communication received,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,(2) through your online profile.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
108,follow the unsubscribe instructions contained within the message you receive,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,please use the mechanism or contact information on the Service that allows you to change or update your member preferences or informatio,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110,"If you do not wish to receive future commercial messages from us, simply follow the unsubscribe instructions contained within the message you receive",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111,"your computer, mobile or other device may include an option that allows you to not accept it.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,"our computer, mobile or other device may include an option that allows you to not accept it",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
113,"If you do not want Local Device Storage, your computer, mobile or other device may include an option that allows you to not accept it.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
114,may opt out,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
115,you may opt out of third party tracking on the Service at any time,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
116,"f you wish to opt-out of our sharing of your information with third parties for the third parties direct marketing purposes or to find out more about your opt-out rights, please contact our Privacy Policy Coordinator as described below.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,"If you wish to exercise this right, please contact our Privacy Policy Coordinator and state that you want to opt-out of our sharing with third parties.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,"As discussed above in Section 2(B) and 8, you may opt-out of having your personally identifiable information shared with third parties for their marketing purposes. If you wish to exercise this right, please contact our Privacy Policy Coordinator and state that you want to opt-out of our sharing with third parties.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,contact our Privacy Policy Coordinator.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,you may click here to be removed from our promotional mailing lists. I,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,ou may click here to be removed from our promotional mailing lists.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,"Addtionally, you may click here to be removed from our promotional mailing lists.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,"If you don't agree to the terms contained in this User Agreement and Privacy Policy, you must immediately exit the Service.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,"Should you not agree to this limited third party disclosure of your child's personally identifiable information, please contact the Sally Ride Science operator at the address below.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,without your prior consent.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
126,and you may also refuse to allow any further collection or use of your child's personal information.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
127,Not selected,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
128,"(d) request that we no longer collect or maintain such information about your child, please call us at 1.800.561.5161 or email us.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,please call us at 1.800.561.5161 or email us.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,"You may choose not to provide us with certain types of information,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
131,You may opt out of receiving commercial email messages from us by following the instructions contained in those email messages.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132,do not connect your social media service account with your Services,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133, Email Promotions    You may opt out of receiving commercial email messages from us by following the instructions contained in those email messages.  ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
134,Network Advertising Initiative and Digital Advertising Alliance . Please see Online Tracking and Advertising and visit our Ad Choices pages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135,by visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,"You may choose whether to receive some forms of targeted advertising from many ad networks, audience segment providers, ad serving vendors, and other service providers by visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance . Please see Online Tracking and Advertising and visit our Ad Choices pages for further information about how to disable cookies and other choices that may be available to you with respect to certain types of targeted advertising.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137,disable cookies,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
138,"If you wish to disable cookies, refer to your browser help menu to learn how to disable cookies.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance . Please visit our Ad Choices page for additional information and privacy choices.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
140,"In addition to disabling cookies and other tracking technologies as described above, you may opt-out of receiving targeted advertising from participating ad networks, audience segment providers, ad serving vendors, and other service providers by visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance .",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,do not wish to receive future commercial messages,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
142,simply follow the unsubscribe instructions contained within the message you receive.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
143,"If you do not wish to receive future commercial messages from us, simply follow the unsubscribe instructions contained within the message you receive.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
144,decline,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,", decline to submit",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
146,"You may, of course, decline to submit personally identifiable information to Company, in which case Company may not be able to provide certain services to you.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,third-party advertising companies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
148,"If you would like to ""opt-out"" of being served OBA on the Website by our third-party advertising companies, click on the AdChoices icon below and select the companies whose OBA technology you would like to block on the Website.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
149,"You may also ""opt-out"" of other third party programs using OBA technology on your web browser: (a) for users targeted in the United States by visiting http://www.aboutads.info/choices; (b) for users targeted in Europe by visiting http:://www.youronlinechoices.com, selecting the country where you are located; (c) for users targeted in Australia by visiting http://youronlinechoices.com.au, and selecting ""Your Ad Choices"" or ""Your Choices"" as applicable, and (d) for users targeted in Canada by visiting http://youradchoices.ca/choices.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
150,"You may also ""opt-out"" of other third party programs using OBA technology on your web browse",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
151,"For more information about online advertising, please visit: (a) http://aboutads.info/consumers regarding United States online choices; (b) http://youronlinechoices.com regarding European online choices; (c) http://youronlinechoices.com.au regarding Australian online choices; and/or (d) http://youradchoices.ca regarding Canadian online choices.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
152,by mail or e-mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
153,opt out,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
154,you may exercise this right by following the opt-out procedures contained in any e-mail or written communication TEN sends to you or by following the procedures set forth in Section VII of this Privacy Policy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
155,You have the ability to accept or decline cookies by modifying your browser,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
156,some advanced and customized features or offerings on our site will not be available to you.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
157,ability to accept or decline cookies by modifying your browser,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
158,following the unsubscribe instructions in the body of any e-mail message.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
159,by following the unsubscribe instructions in the body of any e-mail message.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
160,unsubscribe instructions in the body of any e-mail message,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161,please click here.,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
162,write to us directly,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,You also may write to us directly if you wish to:,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,You also may write to us directly if you wish to,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Such written requests should be sent to TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,"If you do not agree to this Privacy Policy, you should not use or access any of our sites. Additionally, this Privacy Policy incorporates all of the terms, conditions, and provisions of the TEN Terms of Use, which are posted on our sites. If you do not agree with the TEN Terms of Use, you should not use or access any of our sites.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,"If you do not agree to this Privacy Policy, you should not use or access any of our sites.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,"By using our Sites, you are accepting the practices described in this Privacy Policy. If you do not agree to the terms of this Privacy Policy, please do not use the Sites.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,if you choose to enable that feature of the app,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170,"If you choose to adjust your Flash privacy settings in your device, some features of the Sites may not function properly.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
171,"If you choose to adjust your Flash privacy settings in your device,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
172,"Our Sites may provide you with the ability to register, log into, ""like"" or otherwise interact with third party social media services, including, but not limited to, Facebook, Instagram, Twitter, Pinterest, YouTube, and other social media services. These features may enable integration and/or access to your social media accounts. We do not control these social media services or your profiles on these services, and we do not establish privacy settings or rules for how your personal information on these services will be used. If you choose to log on to or submit information through any of these social media services,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
173,by choosing to log in to our Sites using your credentials from a social media service,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
174,All newsletters contain instructions so that the recipient may unsubscribe at any time.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
175,"Under COPPA, you have the right to review and have any of your child's information deleted from our records. You also have the right to tell us to stop collecting or using your child's personal information. If you have questions concerning our information practices with respect to children, or if you would like to review, have deleted, or stop the further collection of your child's personal information in connection with the transaction for which it was originally collected, you may email us at privacy@penguinrandomhouse.com. For tips on protecting your child's privacy online, please see the U.S. Federal Trade Commission's brochure on this topic: www.onguardonline.gov.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,"You also have the right to tell us to stop collecting or using your child's personal information. If you have questions concerning our information practices with respect to children, or if you would like to review, have deleted, or stop the further collection of your child's personal information in connection with the transaction for which it was originally collected, you may email us at privacy@penguinrandomhouse.com.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,"You may always opt-out of receiving future commercial emails and newsletters from PRH. We provide you with the opportunity to opt-out of receiving such communications from us by clicking on the ""unsubscribe"" link within the email you receive.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
178,"You may also opt out of receiving further communications from us or correct your information by sending us a message at unsubscribe@penguinrandomhouse.com. Please note that your request not to receive unsolicited commercial emails from us will not apply to messages that you request or that are not commercial in nature. For example, we may contact you concerning any purchases you have made with us, even if you opt out of receiving unsolicited commercial messages.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,"clicking on the ""unsubscribe"" link within the email you receive.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180,sending us a message at unsubscribe@penguinrandomhouse.com,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,"We provide you with the opportunity to opt-out of receiving such communications from us by clicking on the ""unsubscribe"" link within the email you receive.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
182,You may also opt out of receiving further communications from us or correct your information by sending us a message at unsubscribe@penguinrandomhouse.com.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,you cannot opt-out,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
