,Clause,Category
51,"If you do not want to receive e-mail or other mail from us, please adjust your Customer Communication Preferences.",Other
52,If you do not want to receive e-mail or other mail from us,Dont use service/feature
53,"If you do not want to receive e-mail or other mail from us, please adjust your Customer Communication Preferences",Opt-out link
54,"prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. Additionally, you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer.",Browser/device privacy controls
55,"most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether",Browser/device privacy controls
56,we recommend that you leave them turned on.,Browser/device privacy controls
57,adjust your Customer Communication Preferences,First-party privacy controls
58,"unless, of course, the customer consents otherwise",Opt-in
59,you will have an opportunity to choose not to share the information.,Unspecified
60,have an opportunity to choose,Unspecified
61,you will have an opportunity to choose not to share the information,Opt-out via contacting company
62,you can always choose not to provide information,Unspecified
63,you can always choose not to provide information,Unspecified
64,you can always choose,Dont use service/feature
65,you can always choose,Dont use service/feature
66,"always choose not to provide information, even though it might be needed",Dont use service/feature
67,"always choose not to provide information, even though it might be needed",Dont use service/feature
68,adjust your Customer Communication Preferences,First-party privacy controls
69,please adjust your Customer Communication Preferences,Other
70,please adjust your Customer Communication Preferences,Opt-out link
71,adjust your Advertising Preferences .,First-party privacy controls
72,adjust your Advertising Preferences .,First-party privacy controls
73,please adjust your Advertising Preferences .,Other
74,please adjust your Advertising Preferences,Opt-out link
75,The Help feature on most browsers,Browser/device privacy controls
76,"you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer.",Other
77,"ou can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer.",Browser/device privacy controls
78,"if you block or otherwise reject our cookies,",Browser/device privacy controls
79,"browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. Additionally, you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer",Browser/device privacy controls
80,"Because cookies allow you to take advantage of some of Amazon.com's essential features, we recommend that you leave them turned on. For instance, if you block or otherwise reject our cookies",Dont use service/feature
81,"If you choose to visit Amazon.com,",Other
82,Most mobile devices provide users with the ability to disable location services,Browser/device privacy controls
83,provide users with the ability to disable location services.,Browser/device privacy controls
84,egal guardian may request that we deactivate any of your Personal Information in our database and/or opt-out from receiving communications from us.,Other
85,o opt-out o,Opt-out link
86,"do not wish to receive any additional marketing material, you can indicate your preference on our store partners order form.",Third-party privacy controls
87,clicking on a link,Opt-out link
88,"For example, you can unsubscribe from any email newsletter list at any time by clicking on a link provided in all email newsletters sent to you.",Opt-out link
89,"If you purchase a product in our store but do not wish to receive any additional marketing material, you can indicate your preference on our store partners order form.",Third-party privacy controls
90,"If you do not want to receive e-mail or other mail from us, please use our User Administration pages to adjust your preferences.",First-party privacy controls
91,please use our User Administration pages to adjust your preferences.,First-party privacy controls
92,"The ""help"" portion of the toolbar on most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. Additionally, you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer. However, because cookies allow you to take full advantage of some of IMDb's essential features, we recommend that you leave them turned on.",Browser/device privacy controls
93,"The ""help"" portion of the toolbar on most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether.",Browser/device privacy controls
94,"The ""help"" portion of the toolbar on most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. Additionally, you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer.",Browser/device privacy controls
95,": Other than as set out above, you will always receive notice when information about you might go to third parties, and you will have an opportunity to choose not to share the information.",Opt-in
96,you will have an opportunity to choose not to share the information.,Other
97,you will have an opportunity to choose not to,Unspecified
98,choose not to provide information,Dont use service/feature
99,"As discussed above, you can always choose not to",Unspecified
100,please use our User Administration pages to adjust your preferences.,First-party privacy controls
101,please use our User Administration pages to adjust your preferences.,First-party privacy controls
102,"If you do not want to receive e-mail or other mail from us, please use our User Administration pages to adjust your preferences.",First-party privacy controls
103,please adjust your Advertising Preferences.,First-party privacy controls
104,"If you do not want us to use personal information that we gather to allow third parties to personalize advertisements we display to you, please adjust your Advertising Preferences.",First-party privacy controls
105,please adjust your Advertising Preferences.,First-party privacy controls
106,please adjust your Advertising Preferences.,First-party privacy controls
107,please adjust your Advertising Preferences.,First-party privacy controls
108,please adjust your Advertising Preferences.,First-party privacy controls
109,"The ""help"" portion of the toolbar on most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. Additionally, you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer.",Browser/device privacy controls
110,"""help"" portion of the toolbar on most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether.",Browser/device privacy controls
111,"The ""help"" portion of the toolbar on most browsers",Browser/device privacy controls
112,visiting the Web site of its manufacturer.,Other
113," 5. Your Controls and Choices    We provide you the ability to exercise certain controls and choices regarding our collection, use and sharing of your information. In accordance with local law, your controls and choices may include:     You may correct, update and delete your registration account    You may change your choices for subscriptions, newsletters and alerts    You may choose whether to receive from us offers and promotions for our products and services, or products and services that we think may be of interest to you    You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may request access to the personal information we hold about you and that we amend or delete it  ",Unspecified
114," 5. Your Controls and Choices    We provide you the ability to exercise certain controls and choices regarding our collection, use and sharing of your information. In accordance with local law, your controls and choices may include:     You may correct, update and delete your registration account    You may change your choices for subscriptions, newsletters and alerts    You may choose whether to receive from us offers and promotions for our products and services, or products and services that we think may be of interest to you    You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may request access to the personal information we hold about you and that we amend or delete it  ",Unspecified
115," 5. Your Controls and Choices    We provide you the ability to exercise certain controls and choices regarding our collection, use and sharing of your information. In accordance with local law, your controls and choices may include:     You may correct, update and delete your registration account    You may change your choices for subscriptions, newsletters and alerts    You may choose whether to receive from us offers and promotions for our products and services, or products and services that we think may be of interest to you    You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may request access to the personal information we hold about you and that we amend or delete it  ",Unspecified
116,"You may choose whether to receive from us offers and promotions for our products and services, or products and services that we think may be of interest to you",Unspecified
117,"You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here",Third-party privacy controls
118,You may request access to the personal information we hold about you and that we amend or delete it,Opt-out via contacting company
119,we may not be able to deliver certain products and services to you,Dont use service/feature
120,"You may exercise your controls and choices, or request access to your personal information, by visiting Communication Choices, contacting Guest Services, or following instructions provided in communications sent to you.",Opt-out via contacting company
121,"By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us.",Unspecified
122,"If you do not agree to the terms of this Privacy Policy, please do not use the Site and exit immediately.",Dont use service/feature
123,"If you do not provide information to us, you may be unable to use certain features of the Site.",Other
124,If you do not provide,Opt-in
125,If you do not provide,Opt-in
126,If you do not provide,Opt-in
127,"To register your preferences or choices, or to opt out of behavioral advertising offered by participants in these programs, visit http://www.networkadvertising.org or http://www.aboutads.info.",Opt-out link
128,visit http://www.networkadvertising.org or http://www.aboutads.info.,Third-party privacy controls
129,visit http://www.networkadvertising.org or http://www.aboutads.info.,Opt-out link
130,If you send us,Opt-in
131,We normally honor requests to,Opt-in
132,If you chose to provide,Opt-in
133,If you chose to provide,Opt-in
134,"You may terminate any ongoing communications you receive from Miami New Times via e-mail (such as newsletters, subscriptions, contest results, survey inquiries, etc.) by (1) clicking the ""unsubscribe"" link that is available within the communication received,",Opt-out link
135,through your online profile,First-party privacy controls
136,"1) clicking the ""unsubscribe"" link that is available within the communication received,",Opt-out link
137,(2) through your online profile,First-party privacy controls
138,"by (1) clicking the ""unsubscribe"" link that is available within the communication received,",Opt-out link
139,(2) through your online profile.,First-party privacy controls
140,follow the unsubscribe instructions contained within the message you receive,Opt-out link
141,please use the mechanism or contact information on the Service that allows you to change or update your member preferences or informatio,First-party privacy controls
142,"If you do not wish to receive future commercial messages from us, simply follow the unsubscribe instructions contained within the message you receive",Opt-out link
143,"your computer, mobile or other device may include an option that allows you to not accept it.",Browser/device privacy controls
144,"our computer, mobile or other device may include an option that allows you to not accept it",Browser/device privacy controls
145,"If you do not want Local Device Storage, your computer, mobile or other device may include an option that allows you to not accept it.",Browser/device privacy controls
146,may opt out,Unspecified
147,you may opt out of third party tracking on the Service at any time,Unspecified
148,"f you wish to opt-out of our sharing of your information with third parties for the third parties direct marketing purposes or to find out more about your opt-out rights, please contact our Privacy Policy Coordinator as described below.",Opt-out via contacting company
149,opt-out,Opt-out via contacting company
150,"If you wish to exercise this right, please contact our Privacy Policy Coordinator and state that you want to opt-out of our sharing with third parties.",Opt-out via contacting company
151,"As discussed above in Section 2(B) and 8, you may opt-out of having your personally identifiable information shared with third parties for their marketing purposes. If you wish to exercise this right, please contact our Privacy Policy Coordinator and state that you want to opt-out of our sharing with third parties.",Opt-out via contacting company
152,contact our Privacy Policy Coordinator.,Opt-out via contacting company
153,you may click here to be removed from our promotional mailing lists. I,Opt-out link
154,ou may click here to be removed from our promotional mailing lists.,Opt-out link
155,"Addtionally, you may click here to be removed from our promotional mailing lists.",Opt-out link
156,"If you don't agree to the terms contained in this User Agreement and Privacy Policy, you must immediately exit the Service.",Dont use service/feature
157,"Should you not agree to this limited third party disclosure of your child's personally identifiable information, please contact the Sally Ride Science operator at the address below.",Opt-out via contacting company
158,without your prior consent.,Opt-in
159,without your prior consent.,Opt-in
160,without your prior consent.,Opt-in
161,and you may also refuse to allow any further collection or use of your child's personal information.,Unspecified
162,Not selected,Unspecified
163,Not selected,Unspecified
164,"(d) request that we no longer collect or maintain such information about your child, please call us at 1.800.561.5161 or email us.",Opt-out via contacting company
165,please call us at 1.800.561.5161 or email us.,Opt-out via contacting company
166,"You may choose not to provide us with certain types of information,",Opt-in
167,You may opt out of receiving commercial email messages from us by following the instructions contained in those email messages.,Unspecified
168,You may opt out of receiving commercial email messages from us by following the instructions contained in those email messages.,Unspecified
169,You may opt out of receiving commercial email messages from us by following the instructions contained in those email messages.,Unspecified
170,do not connect your social media service account with your Services,Dont use service/feature
171, Email Promotions    You may opt out of receiving commercial email messages from us by following the instructions contained in those email messages.  ,Unspecified
172,Network Advertising Initiative and Digital Advertising Alliance . Please see Online Tracking and Advertising and visit our Ad Choices pages,Third-party privacy controls
173,by visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance,Third-party privacy controls
174,"You may choose whether to receive some forms of targeted advertising from many ad networks, audience segment providers, ad serving vendors, and other service providers by visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance . Please see Online Tracking and Advertising and visit our Ad Choices pages for further information about how to disable cookies and other choices that may be available to you with respect to certain types of targeted advertising.",Third-party privacy controls
175,disable cookies,Browser/device privacy controls
176,"If you wish to disable cookies, refer to your browser help menu to learn how to disable cookies.",Browser/device privacy controls
177,opt-out,Third-party privacy controls
178,visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance . Please visit our Ad Choices page for additional information and privacy choices.,Third-party privacy controls
179,visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance . Please visit our Ad Choices page for additional information and privacy choices.,Third-party privacy controls
180,"In addition to disabling cookies and other tracking technologies as described above, you may opt-out of receiving targeted advertising from participating ad networks, audience segment providers, ad serving vendors, and other service providers by visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance .",Third-party privacy controls
181,do not wish to receive future commercial messages,Opt-out link
182,simply follow the unsubscribe instructions contained within the message you receive.,Other
183,"If you do not wish to receive future commercial messages from us, simply follow the unsubscribe instructions contained within the message you receive.",Opt-out link
184,decline,Dont use service/feature
185,", decline to submit",Opt-in
186,"You may, of course, decline to submit personally identifiable information to Company, in which case Company may not be able to provide certain services to you.",Dont use service/feature
187,opt-out,Third-party privacy controls
188,third-party advertising companies,Third-party privacy controls
189,"If you would like to ""opt-out"" of being served OBA on the Website by our third-party advertising companies, click on the AdChoices icon below and select the companies whose OBA technology you would like to block on the Website.",Third-party privacy controls
190,opt-out,Third-party privacy controls
191,"You may also ""opt-out"" of other third party programs using OBA technology on your web browser: (a) for users targeted in the United States by visiting http://www.aboutads.info/choices; (b) for users targeted in Europe by visiting http:://www.youronlinechoices.com, selecting the country where you are located; (c) for users targeted in Australia by visiting http://youronlinechoices.com.au, and selecting ""Your Ad Choices"" or ""Your Choices"" as applicable, and (d) for users targeted in Canada by visiting http://youradchoices.ca/choices.",Third-party privacy controls
192,"You may also ""opt-out"" of other third party programs using OBA technology on your web browse",Browser/device privacy controls
193,"For more information about online advertising, please visit: (a) http://aboutads.info/consumers regarding United States online choices; (b) http://youronlinechoices.com regarding European online choices; (c) http://youronlinechoices.com.au regarding Australian online choices; and/or (d) http://youradchoices.ca regarding Canadian online choices.",Third-party privacy controls
194,by mail or e-mail,Other
195,opt out,Unspecified
196,opt out,Other
197,you may exercise this right by following the opt-out procedures contained in any e-mail or written communication TEN sends to you or by following the procedures set forth in Section VII of this Privacy Policy.,Other
198,You have the ability to accept or decline cookies by modifying your browser,Browser/device privacy controls
199,some advanced and customized features or offerings on our site will not be available to you.,Other
200,ability to accept or decline cookies by modifying your browser,Browser/device privacy controls
201,following the unsubscribe instructions in the body of any e-mail message.,Other
202,by following the unsubscribe instructions in the body of any e-mail message.,Other
203,unsubscribe instructions in the body of any e-mail message,Opt-out link
204,please click here.,Opt-out link
205,please click here.,Unspecified
206,write to us directly,Opt-out via contacting company
207,write to us directly,Opt-out via contacting company
208,You also may write to us directly if you wish to:,Opt-out via contacting company
209,You also may write to us directly if you wish to,Opt-out via contacting company
210,Such written requests should be sent to TEN,Opt-out via contacting company
211,"If you do not agree to this Privacy Policy, you should not use or access any of our sites. Additionally, this Privacy Policy incorporates all of the terms, conditions, and provisions of the TEN Terms of Use, which are posted on our sites. If you do not agree with the TEN Terms of Use, you should not use or access any of our sites.",Dont use service/feature
212,"If you do not agree to this Privacy Policy, you should not use or access any of our sites.",Dont use service/feature
213,"By using our Sites, you are accepting the practices described in this Privacy Policy. If you do not agree to the terms of this Privacy Policy, please do not use the Sites.",Dont use service/feature
214,if you choose to enable that feature of the app,Opt-in
215,"If you choose to adjust your Flash privacy settings in your device, some features of the Sites may not function properly.",Browser/device privacy controls
216,"If you choose to adjust your Flash privacy settings in your device, some features of the Sites may not function properly.",Browser/device privacy controls
217,"If you choose to adjust your Flash privacy settings in your device,",Browser/device privacy controls
218,"If you choose to adjust your Flash privacy settings in your device,",Browser/device privacy controls
219,"If you choose to adjust your Flash privacy settings in your device,",Browser/device privacy controls
220,"Our Sites may provide you with the ability to register, log into, ""like"" or otherwise interact with third party social media services, including, but not limited to, Facebook, Instagram, Twitter, Pinterest, YouTube, and other social media services. These features may enable integration and/or access to your social media accounts. We do not control these social media services or your profiles on these services, and we do not establish privacy settings or rules for how your personal information on these services will be used. If you choose to log on to or submit information through any of these social media services,",Opt-in
221,by choosing to log in to our Sites using your credentials from a social media service,Opt-in
222,All newsletters contain instructions so that the recipient may unsubscribe at any time.,Unspecified
223,"Under COPPA, you have the right to review and have any of your child's information deleted from our records. You also have the right to tell us to stop collecting or using your child's personal information. If you have questions concerning our information practices with respect to children, or if you would like to review, have deleted, or stop the further collection of your child's personal information in connection with the transaction for which it was originally collected, you may email us at privacy@penguinrandomhouse.com. For tips on protecting your child's privacy online, please see the U.S. Federal Trade Commission's brochure on this topic: www.onguardonline.gov.",Opt-out via contacting company
224,"You also have the right to tell us to stop collecting or using your child's personal information. If you have questions concerning our information practices with respect to children, or if you would like to review, have deleted, or stop the further collection of your child's personal information in connection with the transaction for which it was originally collected, you may email us at privacy@penguinrandomhouse.com.",Opt-out via contacting company
225,"You also have the right to tell us to stop collecting or using your child's personal information. If you have questions concerning our information practices with respect to children, or if you would like to review, have deleted, or stop the further collection of your child's personal information in connection with the transaction for which it was originally collected, you may email us at privacy@penguinrandomhouse.com.",Opt-out via contacting company
226,"You may always opt-out of receiving future commercial emails and newsletters from PRH. We provide you with the opportunity to opt-out of receiving such communications from us by clicking on the ""unsubscribe"" link within the email you receive.",Opt-out link
227,"You may also opt out of receiving further communications from us or correct your information by sending us a message at unsubscribe@penguinrandomhouse.com. Please note that your request not to receive unsolicited commercial emails from us will not apply to messages that you request or that are not commercial in nature. For example, we may contact you concerning any purchases you have made with us, even if you opt out of receiving unsolicited commercial messages.",Opt-out via contacting company
228,"clicking on the ""unsubscribe"" link within the email you receive.",Opt-out link
229,sending us a message at unsubscribe@penguinrandomhouse.com,Opt-out via contacting company
230,"We provide you with the opportunity to opt-out of receiving such communications from us by clicking on the ""unsubscribe"" link within the email you receive.",Opt-out link
231,You may also opt out of receiving further communications from us or correct your information by sending us a message at unsubscribe@penguinrandomhouse.com.,Opt-out via contacting company
232,you cannot opt-out,Unspecified
233,"ou can limit the collection, use and sharing of your information.",Other
234,doing so will restrict your ability to access some content and use some of the functionality of the sites.,Dont use service/feature
235,provided on a voluntary basis,Opt-in
236,"All personally identifiable information is provided on a voluntary basis. If you do not want The Atlantic to collect such information, you should not submit it to the Sites.",Dont use service/feature
237,opt-ou,Opt-out via contacting company
238,opt-ou,Opt-out via contacting company
239,"You may opt-out of having your personally identifiable information shared with business partners and third parties for marketing and advertising purposes by e-mailing us at techtrouble(at)theatlantic(dot)com, or contacting us at the phone numbers or postal address provided below.",Opt-out via contacting company
240,"You may opt-out of having your personally identifiable information shared with business partners and third parties for marketing and advertising purposes by e-mailing us at techtrouble(at)theatlantic(dot)com, or contacting us at the phone numbers or postal address provided below.",Opt-out via contacting company
241,opt-out,Third-party privacy controls
242,opt-out of the use of your information for online,Opt-out link
243,"You may be able to opt-out of the use of your information for online, interest based advertising from participating whether advertising partners and unaffiliated third parties through the Network Advertising Initiatives opt-out program by clicking http://www.networkadvertising.org/managing/opt_out.asp.",Third-party privacy controls
244,opt-out,Opt-out via contacting company
245,"opt-out of receiving future e-mail marketing messages and newsletters from The Atlantic by following the instructions contained within the emails and newsletters, or by e-mailing, calling or writing us at the addresses below",Opt-out via contacting company
246,"You may always opt-out of receiving future e-mail marketing messages and newsletters from The Atlantic by following the instructions contained within the emails and newsletters, or by e-mailing, calling or writing us at the addresses below.",Opt-out via contacting company
247,you can find controls to manage your information and protect your privacy and security at My Account,First-party privacy controls
248,unless we have your opt-in consent.,Opt-in
249,We will ask for your consent,Opt-in
250,We will ask for your consent,Opt-in
251,Visit your Google Account History for settings,First-party privacy controls
252,by using Google Dashboard.,First-party privacy controls
253,using Ads Settings.,First-party privacy controls
254,You can also opt out of certain Google advertising services here.,Opt-out link
255,Control who you share information with through your Google Account.,Unspecified
256,Choose,Unspecified
257,Visit your Google Account History,Opt-out link
258,Visit your Google Account History for settings,First-party privacy controls
259,Visit your Google Account History for settings,First-party privacy controls
260,Visit your Google Account History for settings,First-party privacy controls
261,opt out of certain Google advertising services here,Opt-out link
262,Control,Opt-in
263,Choose,Opt-in
264,You may also set your browser,Browser/device privacy controls
265,set your browser to block,Browser/device privacy controls
266,You may also set your browser,Browser/device privacy controls
267,We require opt-in consent,Opt-in
268,"By interacting with Barnes & Noble in the manner described in this Privacy Policy at any time, you are accepting the practices described in this Privacy Policy and you consent to the application of this Privacy Policy to the collection, storage, use and disclosure of all your personal and other information as described.",Dont use service/feature
269,"By interacting with Barnes & Noble in the manner described in this Privacy Policy at any time, you are accepting the practices described in this Privacy Policy and you consent to the application of this Privacy Policy to the collection, storage, use and disclosure of all your personal and other information as described.",Dont use service/feature
270,"By interacting with Barnes & Noble in the manner described in this Privacy Policy at any time, you are accepting the practices described in this Privacy Policy and you consent to the application of this Privacy Policy to the collection, storage, use and disclosure of all your personal and other information as described.",Dont use service/feature
271,Apps or on your Barnes & Noble,First-party privacy controls
272,third party device,Browser/device privacy controls
273,"As a general matter, you can browse in our stores and on the Barnes & Noble Websites without submitting your personal information to us",Opt-in
274,"You can choose to have your browser notify you when cookies are being written to your computer or accessed, or you can disable cookies entirely.",Browser/device privacy controls
275,"To disable the Google Analytics cookie and other third party web analytics service provider cookies, you can choose to have your browser notify you when cookies are being written to your computer or accessed, or you can disable cookies entirely",Browser/device privacy controls
276,"ou can choose to have your browser notify you when cookies are being written to your computer or accessed, or you can disable cookies entirely.",Browser/device privacy controls
277,If you do not wish to receive marketing communications,Third-party privacy controls
278,by emailing our Customer Service Department by clicking here.,Opt-out via contacting company
279,opt-out link,Opt-out link
280,opt out,Opt-out link
281,"For Barnes & Noble Booksellers : At any time, a customer may choose to opt-out of the receipt of any promotional communications by clicking on the opt-out link provided at the bottom of each email and following the instructions",Opt-out link
282,opt out link,Opt-out link
283,to opt out,Opt-out link
284,"For Barnes & Noble College Booksellers : At any time, a customer may choose to opt out of the receipt of any promotional communications by clicking on the opt out link provided at the bottom of each email and following the instructions.",Opt-out link
285,opt-out,First-party privacy controls
286,you may opt out of the receipt of such communications by selecting the link at the bottom of any promotional email communication and following the instructions.,Opt-out link
287,opt-out,Opt-out link
288,"Communication Preferences"". If y",First-party privacy controls
289,"Any account holder can opt-out of the receipt of any promotional communications by logging onto their Account and following the instructions under ""Communication Preferences"".",First-party privacy controls
290,"If you do not have a barnesandnoble.com account, you may opt out of the receipt of such communications by selecting the link at the bottom of any promotional email communication and following the instructions.",Opt-out link
291,"following the instructions under ""Change Your Communication Preferences.""",First-party privacy controls
292,opt-out of the receipt of such communications by selecting the link at the bottom of any promotional email communication and following the instructions.,Opt-out link
293,opt out,Opt-out link
294,"""Change Your Communication Preferences.",First-party privacy controls
295,"Any Member can opt out of the receipt of any Member program promotional communications by logging on to their barnesandnoble.com Account and following the instructions under ""Change Your Communication Preferences.""",First-party privacy controls
296,"If you do not have a barnesandnoble.com account, you may opt-out of the receipt of such communications by selecting the link at the bottom of any promotional email communication and following the instructions.",Opt-out link
297,"clicking ""Communication Preferences,"" and following instructions under ""Change Communication Preferences.""",First-party privacy controls
298,clicking on the opt-out link,Opt-out link
299,"f no opt out link exists reply to the email with the word ""Remove"" in the subject line, or by e-mailing our Customer Service Department by clicking here.",Other
300,opt out,First-party privacy controls
301,opt-out link,Opt-out link
302,"no opt out link exists reply to the email with the word ""Remove",Opt-out via contacting company
303,"Any Educator can opt out of the receipt of any promotional communications by logging on to their barnesandnoble.com Account, clicking ""Communication Preferences,"" and following instructions under ""Change Communication Preferences.""",First-party privacy controls
304,"If you do not have a barnesandnoble.com account, you may opt out of the receipt of such communications by clicking on the opt-out link provided at the bottom of each email and following the instructions.",Opt-out link
305,"If no opt out link exists reply to the email with the word ""Remove"" in the subject line, or by e-mailing our Customer Service Department by clicking here.",Opt-out via contacting company
306,opt-out link,Opt-out link
307,following the instructions or by sending an e-mail to giftcardprefs@bn.com.,Opt-out via contacting company
308,opt-out,Opt-out link
309,by sending an e-mail to giftcardprefs@bn.com.,Opt-out via contacting company
310,Any customer of the Barnes & Noble Gift Card website who receives promotional communications can opt-out of the receipt of any such communications by clicking on the opt-out link provided at the bottom of each email and following the instructions or by sending an e-mail to giftcardprefs@bn.com.,Opt-out link
311,remove their contact information from SparkNotes.com contact list by following the instructions listed on www.sparknotes.com.,Other
312,choose to remove,Third-party privacy controls
