,Clause,Category
15,"you should always take appropriate security measures to protect your Personal Information, including ensuring that you have up-to-date antivirus software.",Other
16,"Unfortunately, no system or online transmission of data can be guaranteed to be 100% secure and you should always take appropriate security measures to protect your Personal Information, including ensuring that you have up-to-date antivirus software. If you believe that your NOTMC account or any information you provided to us is no longer secure, please notify us immediately using the Contact Us information provided below.",Other
17,"For site security purposes and to ensure that this service remains available to all users, this government computer system employs commercial software programs to monitor network traffic to identify unauthorized attempts to upload or change information, or otherwise cause damage.",Generic
18,"commercial software programs to monitor network traffic to identify unauthorized attempts to upload or change information, or otherwise cause damage.",Privacy/Security program
19,How Secure Is Information About Me?,Unspecified
20,Secure Sockets Layer (SSL) software,Secure data transfer
21,We reveal only the last four digits of your credit card numbers when confirming an order.,Other
22,which encrypts information you inp,Generic
23,It is important for you to protect against unauthorized access to your password and to your computer.,Secure user authentication
24,Click here for more information on how to sign off.,Secure user authentication
25,"protect the security of your information during transmission by using Secure Sockets Layer (SSL) software, which encrypts information you input",Secure data transfer
26,We reveal only the last four digits of your credit card numbers when confirming an order,Other
27,Safe Harbor program,Privacy/Security program
28,compliance with the US-EU and US-Swiss Safe Harbor Principles,Privacy/Security program
29,"any unresolved privacy complaints can be referred to an independent dispute resolution mechanism. We use the BBB EU Safe Harbor Program, which is operated by the Council of Better Business Bureaus. If you feel that we have not satisfactorily addressed your complaint, you can visit the BBB EU Safe Harbor Program",Privacy review/audit
30,"Whenever we obtain your Personal Information, we use commercially reasonable efforts to protect it from unauthorized access or disclosure. However, we are not insurers of the security of your Personal Information. Accordingly, we assume no liability for any disclosure of data due to errors in transmission, unauthorized third party access or other acts of third parties, or acts or omissions beyond our reasonable control.",Generic
31,"However, we cannot guarantee compliance with this policy and no method of transmission over the Internet, or method of electronic storage, is 100% secure. Therefore, while we strive to use commercially acceptable means to protect your Personal Information, we cannot guarantee its absolute security.",Generic
32,"third party service providers, such as the online store and personals providers, to encrypt sensitive information such as a credit card numbers using secure socket layer technology (SSL)",Secure data transfer
33,"Our policy is to require our third party service providers, such as the online store and personals providers, to encrypt sensitive information such as a credit card numbers using secure socket layer technology (SSL",Secure data transfer
34,to encrypt sensitive information such as a credit card numbers using secure socket layer technology (SSL).,Secure data transfer
35,"They have access to personal information needed to perform their functions, but may not use it for other purposes.",Data access limitation
36,"How Secure Is Information About Me- </strong> <br> <br> If you use our subscription service, we work to protect the security of your subscription information during transmission by using Secure Sockets Layer (SSL) software, which encrypts information you input.",Secure data transfer
37,"we work to protect the security of your subscription information during transmission by using Secure Sockets Layer (SSL) software, which encrypts information you input.",Secure data transfer
38,Secure Sockets Layer (SSL),Secure data transfer
39,It is important for you to protect against unauthorized access to your password and to your computer. Be sure to sign off when finished using a shared computer.,Generic
40,treating your personal information with care and respect.,Generic
41,"The security, integrity and confidentiality of your information are extremely important to us. We have implemented technical, administrative and physical security measures that are designed to protect guest information from unauthorized access, disclosure, use and modification. From time to time, we review our security procedures to consider appropriate new technology and methods. Please be aware though that, despite our best efforts, no security measures are perfect or impenetrable",Generic
42,"The security, integrity and confidentiality of your information are extremely important to us. We have implemented technical, administrative and physical security measures that are designed to protect guest information from unauthorized access, disclosure, use and modification.",Generic
43,"The security, integrity and confidentiality of your information are extremely important to us. We have implemented technical, administrative and physical security measures that are designed to protect guest information from unauthorized access, disclosure, use and modification. From time to time, we review our security procedures to consider appropriate new technology and methods.",Generic
44,we will take reasonable steps to safeguard the privacy of your personal information,Generic
45,"Wherever your personal information is transferred, stored or processed by us, we will take reasonable steps to safeguard the privacy of your personal information",Generic
46,"We operate globally and may transfer your personal informationto individual companies of The Walt Disney Family of Companiesor third parties in locations around the world for the purposes described in this privacy policy. Wherever your personal information is transferred, stored or processed by us, we will take reasonable steps to safeguard the privacy of your personal information.",Secure data transfer
47,"We operate globally and may transfer your personal informationto individual companies of The Walt Disney Family of Companiesor third parties in locations around the world for the purposes described in this privacy policy. Wherever your personal information is transferred, stored or processed by us, we will take reasonable steps to safeguard the privacy of your personal information.",Secure data storage
48,TRUSTe Privacy Seal,Privacy/Security program
49,When entering payment and personal information on our web pages you will see that we use SSL certificates to encrypt your data as you submit it.,Secure data storage
50,SSL certificates to encrypt your data as you submit it,Secure data transfer
51,We take the responsibility for keeping your payment and personal information private and secure very seriously,Generic
52,Our internal systems and procedures are periodically reviewed for compliance with industry standards on data security.,Privacy review/audit
53,"Links to Other Sites This Site provides links to websites maintained by other organizations. Miami New Times provides these links as a convenience to users, but it does not operate, control or endorse such sites. Miami New Times also disclaims any responsibility for the information on those sites and any products or services offered on such sites. Please review the privacy policies of these sites. Miami New Times is not responsible for any actions or policies of such third parties, and does not make any warranties or representations that any linked sites (or even this Site) will function without error or interruption, that defects will be corrected, or that the sites and their servers are free of viruses and other problems that can harm your computer. Miami New Times disclaims any responsibility for transactions conducted on those sites and cannot vouch for the security of the information submitted in those transactions.",Other
54,"We use reasonable efforts to protect your personally identifiable information from unauthorized use or disclosure. Unfortunately, information transmitted on the Internet and/or stored on systems attached to the Internet are not 100% secure. Updates and Changes to Your Information.",Generic
55,"We use reasonable efforts to protect your personally identifiable information from unauthorized use or disclosure. Unfortunately, information transmitted on the Internet and/or stored on systems attached to the Internet are not 100% secure.",Generic
56,"Because no data transmission is completely secure, and no system of physical or electronic security is impenetrable, we cannot guarantee the security of the information you send to us or the security of our servers, networks or databases, and by using the Service you agree to assume all risk in connection with the information sent to us or collected by us when you access, visit and/or use the Service, including without limitation your personally identifiable information or other Registration Information, and we are not responsible for any loss of such information or the consequences thereof.",Generic
57,"Moreover, if you elect to store information, such as your personally identifiable information or other Registration Information, where others may access it, we are not responsible for any loss of such information or the consequences thereof. If you lose a computer, mobile or other device, or it is stolen, that contains your personally identifiable information or other Registration Information, it is up to you to take all the steps necessary to protect yourself.",Generic
58,"Moreover, if you elect to store information, such as your personally identifiable information or other Registration Information, where others may access it, we are not responsible for any loss of such information or the consequences thereof. If you lose a computer, mobile or other device, or it is stolen, that contains your personally identifiable information or other Registration Information, it is up to you to take all the steps necessary to protect yourse",Generic
59,"In the unlikely event that we believe that the security of your information in our possession or control may have been compromised, we may seek to notify you. If notification is appropriate, we may notify you via your computer, mobile or other device.",Other
60,notification,Other
61,"We limit the collection, use and disclosure",Data access limitation
62,"To protect your daughter's or son's privacy and security, we will take reasonable steps to verify your identity as the child's parent/guardian before granting you access to the personal information that we collect and maintain about your daughter or son.",Secure user authentication
63,we will take reasonable steps to verify your identity as the child's parent/guardian before granting you access,Secure user authentication
64,Sally Ride Science has taken steps to ensure that any information we collect is secure.,Generic
65,"Our security measures include limiting the number of people who have physical access to our database and servers,",Data access limitation
66,"utilizing electronic security systems, and using password protections that guard against unauthorized access.",Secure data storage
67,"We are also sensitive to security concerns regarding the use of credit cards for purchases. We protect your credit card information (and all other personal information) using Secure Socket Layer (SSL) technology that automatically encrypts all data while information is being transmitted over the Internet. Furthermore, we will not keep your credit card number in our database once a transaction is completed.",Secure data transfer
68,using password protections that guard against unauthorized access. We are also sensitive to security concerns regarding the use of credit cards for purchases. We protect your credit card information (and all other personal information) using Secure Socket Layer (SSL),Secure data transfer
69,using password protections that guard against unauthorized access.,Secure user authentication
70,We protect your credit card information (and all other personal information) using Secure Socket Layer (SSL) technology that automatically encrypts all data while information is being transmitted over the Internet.,Secure data transfer
71,"Furthermore, we will not keep your credit card number in our database once a transaction is completed.",Other
72,"We have in place physical, electronic and managerial procedures to protect the information we collect online.",Generic
73,"place physical, electronic and managerial procedures to protect the information we collect online.",Generic
74,firm commitment to protecting your information and informing you about how we handle your information,Generic
75,We require these entities not to use your information for any other purpose.,Other
76,"Strong precautions are taken to protect the information of the users of our Site. When users submit sensitive information via the Site, that Information is protected both online and off-line.",Generic
77,"Strong precautions are taken to protect the information of the users of our Site. When users submit sensitive information via the Site, that Information is protected both online and off-line.",Generic
78,"We take credit card information security seriously and use a variety of technical solutions to make shopping safe at our Site. The Site has security measures in place to protect against the loss, misuse and alteration of the information under our control.",Generic
79,"In addition, all of the information of our Site's users, including the sensitive information mentioned above, is maintained in locked, secure facilities, whether on CMCs premises or those of the server providers with which we contract.",Secure data storage
80,"Furthermore, your information is encrypted and is protected utilizing the industry standard Secure Sockets Layer (SSL) encryption software. Our secure server software is among the best software available today for secure commerce transactions. We encrypt all of your personal and financial information as it travels over the Internet.",Secure data transfer
81,will not authorize them to use this information except for the express purpose for which it is provided,Data access limitation
82,"Company uses commercially reasonable physical, managerial and technical safeguards to preserve the integrity and security of your personal information. We cannot, however, ensure or warrant the security of any information you transmit to Company and you do so at your own risk. Once we receive your transmission of information, Company makes commercially reasonable efforts to ensure the security of our systems. However, please note that this is not a guarantee that such information may not be accessed, disclosed, altered or destroyed by breach of any of our physical, technical or managerial safeguards.",Generic
83,"ompany uses commercially reasonable physical, managerial and technical safeguards to preserve the integrity and security of your personal information. We cannot, however, ensure or warrant the security of any information you transmit to Company and you do so at your own risk. Once we receive your transmission of information, Company makes commercially reasonable efforts to ensure the security of our systems. However, please note that this is not a guarantee that such information may not be accessed, disclosed, altered or destroyed by breach of any of our physical, technical or managerial safeguards.",Generic
84,"To protect your privacy and security, we take reasonable steps (such as requesting a unique password) to verify your identity before granting you access to your account. You are responsible for maintaining the secrecy of your unique password and account information, and for controlling access to your email communications from Company, at all times.",Generic
85,"In the event that personal information is compromised as a result of a breach of security, Company will take commercially reasonable measures to promptly notify those persons whose personal information has been compromised, in accordance with the notification procedures set forth in this Privacy Policy or as otherwise required by applicable law.",Other
86,TEN: The Enthusiast Network (TEN or We or we) is strongly committed to protecting your privacy and providing a safe online experience for all of our users and subscribers while offering the highest quality publications and services to them.,Generic
87,We incorporate standard industry practices suitable to the degree of sensitivity of the information involved to maintain the security of your personal information and to avoid its disclosure except as described in this policy.,Generic
88,TEN employees are made aware of its privacy practices through periodic communications and training.,Privacy training
89,We limit access to personal data only to those TEN employees or agents with a specific need to access or retrieve this information,Data access limitation
90,"We store data on multiple service systems, in controlled, secure environments.",Secure data storage
91,Secure Socket Layer (SSL) technology to encrypt important information,Secure data transfer
92,Your personal information may also be protected by the password you created when you registered at one of our websites where this feature is offered. The confidentiality of any password is yours to protect. You may change it anytime by following the instructions at the website where you registered,Secure user authentication
93,"We use Secure Socket Layer (SSL) technology to encrypt important information, such as your credit card data, in an effort to prevent unauthorized access during transmission of your orders over the Internet.",Secure data transfer
94,Your personal information may also be protected by the password you created when you registered at one of our websites where this feature is offered.,Secure user authentication
95,"We use Secure Socket Layer (SSL) technology to encrypt important information,",Secure data transfer
96,We do not authorize these third party network advertisers to use this technology to collect personal information about you and they do not have access to your personal information from us.,Data access limitation
97,"These entities have access to your personal information only as needed to perform their functions and they are obligated to maintain the confidentiality and security of that personal information. They are obligated not to use, sell, distribute or alter this information in any way other than to provide the requested services to the Sites.",Data access limitation
98,"Security of Your Personal Information PRH takes reasonable steps to help protect and secure your personal information. However, please remember that no data storage or data transmission over the Internet, or by other means, can be guaranteed to be 100HEADING_START Third Party Content and Links to Third Party Websites",Generic
99,PRH takes reasonable steps to help protect and secure your personal information.,Generic
100,"PRH takes reasonable steps to help protect and secure your personal information. However, please remember that no data storage or data transmission over the Internet, or by other means, can be guaranteed to be 100",Generic
101,"Governing Law These Sites are published in the United States. We attempt to protect the personal information of all users of our Sites and we attempt to comply with local data protection and consumer rights laws to the extent they may apply to PRH's services, but our family of Sites are located and targeted to United States citizens and our policies are directed at compliance with those laws. If you are uncertain whether this Privacy Policy conflicts with the applicable local privacy laws where you are located, you should not submit your personal information to PRH.",Generic
102,"If such access is required, the third parties will be obligated to maintain the confidentiality and security of that personally identifiable information.",Generic
103,"We take reasonable security measures to protect your information, including the use of physical, technical and administrative controls. Please understand, however, that while we try our best to safeguard your personally identifiable information once we receive it, no transmission of data over the Internet or any other public network can be guaranteed to be 100% secure. You need to help protect the privacy of your own information. You must take precautions to protect the security of any personally identifiable information that you may transmit over any home networks, wireless routers, wireless (WiFi) networks or similar devices by using encryption and other techniques to prevent unauthorized persons from intercepting or receiving any of your personally identifiable information. You are responsible for the security of your information when using unencrypted, open access or otherwise unsecured networks.",Generic
104,"When updating your personal information, we may ask you to verify your identity before we can act on your request.",Secure user authentication
105,based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.,Generic
106,"We offer you two step verification when you access your Google Account, and a Safe Browsing feature in Google Chrome.",Secure user authentication
107,We encrypt many of our services using SSL,Secure data transfer
108,"We review our information collection, storage and processing practices, including physical security measures, to guard against unauthorized access to systems.",Privacy review/audit
109,"We restrict access to personal information to Google employees, contractors and agents who need to know that information in order to process it for us, and who are subject to strict contractual confidentiality obligations and may be disciplined or terminated if they fail to meet these obligations.",Data access limitation
110,"We work hard to protect Google and our users from unauthorized access to or unauthorized alteration, disclosure or destruction of information we hold. In particula",Generic
111,"We work hard to protect Google and our users from unauthorized access to or unauthorized alteration, disclosure or destruction of information we hold.",Generic
112,We encrypt many of our services using SSL.,Secure data transfer
113,We regularly review our compliance with our Privacy Policy.,Privacy review/audit
114,We also adhere to several self regulatory frameworks.,Privacy/Security program
115,"Protecting the privacy and security of your personal information is a priority at Barnes & Noble, and we believe that a single, comprehensive privacy policy that is straightforward and clear is in the best interests of our customers and our businesses.",Generic
116,"Security: We follow security standards, processes and procedures that are designed to protect your personal information.",Generic
117,"We follow security standards, processes and procedures that are designed to protect your personal information.",Generic
118,The issuer is contractually obliged to maintain the confidentiality and security of the personal information we provide and is restricted from using such information in any way not expressly authorized by us.,Secure data storage
119,Protecting the privacy and security of your personal information is a priority at Barnes & Noble.,Generic
120,Protecting the privacy and security of your personal information is a priority at Barnes & Noble,Generic
121,They are contractually obligated to use such information only as necessary to assist us and to maintain the confidentiality and security of such information.,Other
122,They are contractually obligated to use such information only as necessary to assist us and to maintain the confidentiality and security of such information.,Other
123,"We take significant and appropriate security measures, including physical, technological and procedural measures, to help to safeguard your personal information and to prevent unauthorized access and disclosure.",Generic
124,"In addition, we use industry-standard technology, such as Secure Sockets Layer (SSL) encryption technology in the transmission of certain sensitive personal information, designed to prevent unauthorized persons from gaining access to your personal information, and, as technology develops, we intend to take additional measures to improve security.",Secure data transfer
125,Secure Sockets Layer (SSL),Secure data transfer
126,"In addition, we use industry-standard technology, such as Secure Sockets Layer (SSL) encryption technology in the transmission of certain sensitive personal information, designed to prevent unauthorized persons from gaining access to your personal information",Secure data transfer
127,"While we are focused on the security of your personal information and follow strict standards, processes and procedures that are designed to protect your personal information,",Generic
128,"e want you to feel confident whenever you visit us in our stores, on the Barnes & Noble Websites, or use Barnes & Noble Devices or Apps. While we are focused on the security of your personal information and follow strict standards, processes and procedures that are designed to protect your personal information, you must remember that the Internet is a global communications vehicle open to threats, viruses and intrusions from others and so we cannot promise, and you should not expect, that we will be able to protect your personal information at all times and in all circumstances.",Generic
129,"We want you to feel confident whenever you visit us in our stores, on the Barnes & Noble Websites, or use Barnes & Noble Devices or Apps. While we are focused on the security of your personal information and follow strict standards, processes and procedures that are designed to protect your personal information, you must remember that the Internet is a global communications vehicle open to threats, viruses and intrusions from others and so we cannot promise, and you should not expect, that we will be able to protect your personal information at all times and in all circumstances.",Generic
130,"Barnes & Noble has received TRUSTe's Privacy Seal signifying that this privacy statement and our practices have been reviewed for compliance with the TRUSTe program viewable on the validation page available by clicking the TRUSTe seal. The TRUSTe program covers only information that is collected through uk.nook.com, www.nookpress.com, NOOK Apps and your interactions with NOOK Simple Touch, NOOK Simple Touch GlowLight, NOOK GlowLight, NOOK HD and NOOK HD+.",Privacy review/audit
131,Barnes & Noble has received TRUSTe's Privacy Seal signifying that this privacy statement and our practices have been reviewed for compliance with the TRUSTe program viewable on the validation page available by clicking the TRUSTe seal.,Privacy/Security program
132,Our website is scanned on a regular basis for security holes and known vulnerabilities in order to make your visit to our site as safe as possible.,Generic
133,How do we protect visitor information? Our website is scanned on a regular basis for security holes and known vulnerabilities in order to make your visit to our site as safe as possible.,Generic
134,"In addition, all sensitive/credit information you supply is encrypted via Secure Socket Layer (SSL) technology.",Secure data transfer
135,Your personal information is contained behind secured networks,Secure data storage
136,"accessible by a limited number of persons who have special access rights to such systems, and are required to keep the information confidential.",Data access limitation
137,all sensitive/credit information you supply is encrypted via Secure Socket Layer (SSL) technology.,Secure data transfer
138,"Your personal information is contained behind secured networks and is only accessible by a limited number of persons who have special access rights to such systems, and are required to keep the information confidential.",Data access limitation
139,"is only accessible by a limited number of persons who have special access rights to such systems, and are required to keep the information confidential.",Data access limitation
140,"We implement a variety of security measures enters, submits, or accesses their information to maintain the safety of your personal information.",Generic
141,All transactions are processed through a gateway provider and are not stored or processed on our servers.,Generic
142,Users can visit our site anonymously,Generic
143,"In order to be in line with Fair Information Practices we will take the following responsive action, should a data breach occur:",Generic
144,We will notify the users via email Within 7 business days,Privacy/Security program
145,We will notify the users via email,Other
146,We will notify the users via in site notification,Other
147,"We also agree to the individual redress principle, which requires that individuals have a right to pursue legally enforceable rights against data collectors and processors who fail to adhere to the law. This principle requires not only that individuals have enforceable rights against data users, but also that individuals have recourse to courts or a government agency to investigate and/or prosecute non-compliance by data processors.",Privacy/Security program
148,We cannot guarantee the security of information sent via electronic mail,Other
149,"The Federal Reserve Bank of St. Louis monitors this site for unauthorized attempts to upload or change information, to defeat or circumvent security measures, or to utilize this site for other than its intended purposes",Privacy/Security program
150,monitors this site for unauthorized attempts to upload or change information,Privacy review/audit
151,We require that these contractors keep information obtained through our web site secure and confidential,Generic
152,secure and confidential,Generic
153,We have implemented security measures consistent with our internal information security practices to help us keep your information secure,Generic
154,We have implemented security measures,Generic
155,consistent with our internal information security practices to help us keep your information secure.,Privacy/Security program
156,"We have implemented security measures consistent with our internal information security practices to help us keep your information secure. These measures include technical and procedural steps to protect your data from misuse, access or disclosure, loss, alteration or destruction",Generic
157,Access to your Personal Information by these service providers is limited to the information reasonably necessary to perform its limited function.,Data access limitation
158,SSL,Secure data transfer
159,"We place a priority on the security of Personal Information, and we undertake reasonable security measures to help protect the data that resides on our servers. We also use secure server software (SSL) to process all financial transactions that occur on the Site. SSL technology can encrypt Personal Information transmitted over the Internet. However, no security system is impenetrable. We do not warrant the security of our servers, nor do we warrant that your information, including Personal Information, will be completely secure or not be intercepted while being transmitted over the Internet.",Generic
160,We also use secure server software (SSL) to process all financial transactions that occur on the Site.,Secure data transfer
161,"e place a priority on the security of Personal Information, and we undertake reasonable security measures to help protect the data that resides on our servers. We also use secure server software (SSL) to process all financial transactions that occur on the Site. SSL technology can encrypt Personal Information transmitted over the Internet.",Secure data transfer
162,"However, no security system is impenetrable. We do not warrant the security of our servers, nor do we warrant that your information, including Personal Information, will be completely secure or not be intercepted while being transmitted over the Internet.",Generic
163,"The personally-identifiable information that you provide to us is stored on servers that are located in secured facilities with restricted access, and protected by protocols and procedures designed to ensure reasonable security of such information.",Secure data storage
164,"restricted access,",Data access limitation
165,"The personally-identifiable information that you provide to us is stored on servers that are located in secured facilities with restricted access, and protected by protocols and procedures designed to ensure reasonable security of such information. In addition, we restrict access to the personally-identifiable information to those of our employees, independent contractors and agents who need to know this information in order to develop, operate and maintain the Sites and the Services. However, no data transmission over the Internet can be guaranteed to be completely secure, and, for this reason, we cannot ensure or warrant the security of any information that you transmit to us. You can help protect your personally-identifiable information by using a combination of letters and numbers in your password, changing your password often, using a secure web browser, and signing off and closing your web browser when you are finished with the use of the Sites.",Generic
166,"In addition, we restrict access to the personally-identifiable information to those of our employees, independent contractors and agents who need to know this information in order to develop, operate and maintain the Sites and the Services.",Data access limitation
167,"However, no data transmission over the Internet can be guaranteed to be completely secure, and, for this reason, we cannot ensure or warrant the security of any information that you transmit to us. You can help protect your personally-identifiable information by using a combination of letters and numbers in your password, changing your password often, using a secure web browser, and signing off and closing your web browser when you are finished with the use of the Sites.",Generic
168,"we restrict access to the personally-identifiable information to those of our employees, independent contractors and agents who need to know this information in order to develop, operate and maintain the Sites and the Services.",Data access limitation
169,"In certain areas, we use industry-standard SSL encryptio",Secure data transfer
170,"The account information associated with any of our Services is password protected for your privacy and security. You choose your password for any of our Services so the strength of that password is determined by you. We recommend that you choose a unique password and not share your password with anyone else. In certain areas, we use industry-standard SSL encryption to protect data transmissions.",Generic
171,The account information associated with any of our Services is password protected for your privacy and security. You choose your password for any of our Services so the strength of that password is determined by you. We recommend that you choose a unique password and not share your password with anyone else.,Other
172,"In certain areas, we use industry-standard SSL encryption to protect data transmissions.",Secure data transfer
173,"In certain areas, we use industry-standard SSL encryption to protect data transmissions.",Secure data transfer
174,"Your credit card information is encrypted when submitted to the processor and transmitted over a secure connection between your computer and our server using Secure Socket Layers (SSL), the industry standard, to ensure protection of your private information.",Secure data transfer
175,"transmitted over a secure connection between your computer and our server using Secure Socket Layers (SSL),",Secure data transfer
176,accessible only to members,Other
177,Employee access to personal information is strictly on a need-to-know basis.,Data access limitation
178,"Our servers are housed in an off-site, secured co-location facility.",Secure data storage
179,All employees are made aware of the Privacy Policy and of any updates or changes to it. Employees are reminded of the importance of protecting the privacy of our donors and Internet site users.,Other
180,"Food Allergy Research & Education implements physical, electronic, and managerial procedures to ensure that your personal information is protected at all times.",Generic
181,reasonable precautions,Generic
182,voluntarily abide by the guidelines outlined in the Family Educational Rights and Privacy Act to maintain your privacy.,Other
183,We use reasonable precautions to protect your information and voluntarily abide by the guidelines outlined in the Family Educational Rights and Privacy Act to maintain your privacy.,Generic
184,reasonable precautions to protect your information,Generic
185,voluntarily abide by the guidelines outlined in the Family Educational Rights and Privacy Act to maintain your privacy,Other
186,"Security This Web site takes every precaution to protect our users' information. When users submit sensitive information via the Web site, their information is protected both online and off-line.",Generic
187,"This Web site takes every precaution to protect our users' information. When users submit sensitive information via the Web site, their information is protected both online and off-line.",Generic
188,"This Web site takes every precaution to protect our users' information. When users submit sensitive information via the Web site, their information is protected both online and off-line.",Generic
189,"When our registration/order form asks users to enter sensitive information (such as credit card number and/or social security number), that information is encrypted and is protected with the best encryption software in the industry - SSL.",Secure data transfer
190,"While on a secure page, such as our order form, the lock icon on the bottom of Web browsers such as Netscape Navigator and Microsoft Internet Explorer becomes locked, as opposed to un-locked, or open, when users are just 'surfing'.",Generic
191,"When our registration/order form asks users to enter sensitive information (such as credit card number and/or social security number), that information is encrypted and is protected with the best encryption software in the industry - SSL. While on a secure page, such as our order form, the lock icon on the bottom of Web browsers such as Netscape Navigator and Microsoft Internet Explorer becomes locked, as opposed to un-locked, or open, when users are just 'surfing'.",Secure data transfer
192,that information is encrypted and is protected with the best encryption software in the industry - SSL,Secure data transfer
193,"All of our users' information, not just the sensitive information mentioned above, is restricted in our offices.",Secure data storage
194,"Only employees who need the information to perform a specific job (for example, our billing clerk or a customer service representative) are granted access to personally identifiable information. Our employees must use password-protected screen-savers when they leave their desk. When they return, they must re-enter their password to re-gain access to user information. Furthermore, ALL employees are kept up-to-date on our security and privacy practices. Every quarter, as well as any time new policies are added, our employees are notified and/or reminded about the importance we place on privacy, and what they can do to ensure our users' information is protected.",Privacy training
195,"Our employees must use password-protected screen-savers when they leave their desk. When they return, they must re-enter their password to re-gain access to user information",Privacy/Security program
196,"While we use SSL encryption to protect sensitive information online, we also do everything in our power to protect user-information off-line.",Secure data transfer
197,"All of our users' information, not just the sensitive information mentioned above, is restricted in our offices. Only employees who need the information to perform a specific job (for example, our billing clerk or a customer service representative) are granted access to personally identifiable information. Our employees must use password-protected screen-savers when they leave their desk. When they return, they must re-enter their password to re-gain access to user information.",Data access limitation
198,"All of our users' information, not just the sensitive information mentioned above, is restricted in our offices. Only employees who need the information to perform a specific job (for example, our billing clerk or a customer service representative) are granted access to personally identifiable information. Our employees must use password-protected screen-savers when they leave their desk. When they return, they must re-enter their password to re-gain access to user information.",Secure data storage
