,Clause,Data access limitation,Generic,Privacy/Security program,Other,Unspecified,Secure data transfer,Secure user authentication,Privacy review/audit,Secure data storage,Privacy training
56,"In the unlikely event that we believe that the security of your information in our possession or control may have been compromised, we may seek to notify you. If notification is appropriate, we may notify you via your computer, mobile or other device.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,notification,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"We limit the collection, use and disclosure",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"To protect your daughter's or son's privacy and security, we will take reasonable steps to verify your identity as the child's parent/guardian before granting you access to the personal information that we collect and maintain about your daughter or son.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,we will take reasonable steps to verify your identity as the child's parent/guardian before granting you access,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,Sally Ride Science has taken steps to ensure that any information we collect is secure.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,"Our security measures include limiting the number of people who have physical access to our database and servers,",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,"utilizing electronic security systems, and using password protections that guard against unauthorized access.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64,"We are also sensitive to security concerns regarding the use of credit cards for purchases. We protect your credit card information (and all other personal information) using Secure Socket Layer (SSL) technology that automatically encrypts all data while information is being transmitted over the Internet. Furthermore, we will not keep your credit card number in our database once a transaction is completed.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
65,using password protections that guard against unauthorized access. We are also sensitive to security concerns regarding the use of credit cards for purchases. We protect your credit card information (and all other personal information) using Secure Socket Layer (SSL),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,using password protections that guard against unauthorized access.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,We protect your credit card information (and all other personal information) using Secure Socket Layer (SSL) technology that automatically encrypts all data while information is being transmitted over the Internet.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,"Furthermore, we will not keep your credit card number in our database once a transaction is completed.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,"We have in place physical, electronic and managerial procedures to protect the information we collect online.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"place physical, electronic and managerial procedures to protect the information we collect online.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,firm commitment to protecting your information and informing you about how we handle your information,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,We require these entities not to use your information for any other purpose.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,"Strong precautions are taken to protect the information of the users of our Site. When users submit sensitive information via the Site, that Information is protected both online and off-line.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,"We take credit card information security seriously and use a variety of technical solutions to make shopping safe at our Site. The Site has security measures in place to protect against the loss, misuse and alteration of the information under our control.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"In addition, all of the information of our Site's users, including the sensitive information mentioned above, is maintained in locked, secure facilities, whether on CMCs premises or those of the server providers with which we contract.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,"Furthermore, your information is encrypted and is protected utilizing the industry standard Secure Sockets Layer (SSL) encryption software. Our secure server software is among the best software available today for secure commerce transactions. We encrypt all of your personal and financial information as it travels over the Internet.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
77,will not authorize them to use this information except for the express purpose for which it is provided,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,"Company uses commercially reasonable physical, managerial and technical safeguards to preserve the integrity and security of your personal information. We cannot, however, ensure or warrant the security of any information you transmit to Company and you do so at your own risk. Once we receive your transmission of information, Company makes commercially reasonable efforts to ensure the security of our systems. However, please note that this is not a guarantee that such information may not be accessed, disclosed, altered or destroyed by breach of any of our physical, technical or managerial safeguards.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,"ompany uses commercially reasonable physical, managerial and technical safeguards to preserve the integrity and security of your personal information. We cannot, however, ensure or warrant the security of any information you transmit to Company and you do so at your own risk. Once we receive your transmission of information, Company makes commercially reasonable efforts to ensure the security of our systems. However, please note that this is not a guarantee that such information may not be accessed, disclosed, altered or destroyed by breach of any of our physical, technical or managerial safeguards.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"To protect your privacy and security, we take reasonable steps (such as requesting a unique password) to verify your identity before granting you access to your account. You are responsible for maintaining the secrecy of your unique password and account information, and for controlling access to your email communications from Company, at all times.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,"In the event that personal information is compromised as a result of a breach of security, Company will take commercially reasonable measures to promptly notify those persons whose personal information has been compromised, in accordance with the notification procedures set forth in this Privacy Policy or as otherwise required by applicable law.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,TEN: The Enthusiast Network (TEN or We or we) is strongly committed to protecting your privacy and providing a safe online experience for all of our users and subscribers while offering the highest quality publications and services to them.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,We incorporate standard industry practices suitable to the degree of sensitivity of the information involved to maintain the security of your personal information and to avoid its disclosure except as described in this policy.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,TEN employees are made aware of its privacy practices through periodic communications and training.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,We limit access to personal data only to those TEN employees or agents with a specific need to access or retrieve this information,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"We store data on multiple service systems, in controlled, secure environments.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
87,Secure Socket Layer (SSL) technology to encrypt important information,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88,Your personal information may also be protected by the password you created when you registered at one of our websites where this feature is offered. The confidentiality of any password is yours to protect. You may change it anytime by following the instructions at the website where you registered,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
89,"We use Secure Socket Layer (SSL) technology to encrypt important information, such as your credit card data, in an effort to prevent unauthorized access during transmission of your orders over the Internet.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
90,Your personal information may also be protected by the password you created when you registered at one of our websites where this feature is offered.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
91,"We use Secure Socket Layer (SSL) technology to encrypt important information,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92,We do not authorize these third party network advertisers to use this technology to collect personal information about you and they do not have access to your personal information from us.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,"These entities have access to your personal information only as needed to perform their functions and they are obligated to maintain the confidentiality and security of that personal information. They are obligated not to use, sell, distribute or alter this information in any way other than to provide the requested services to the Sites.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,"Security of Your Personal Information PRH takes reasonable steps to help protect and secure your personal information. However, please remember that no data storage or data transmission over the Internet, or by other means, can be guaranteed to be 100HEADING_START Third Party Content and Links to Third Party Websites",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,PRH takes reasonable steps to help protect and secure your personal information.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,"PRH takes reasonable steps to help protect and secure your personal information. However, please remember that no data storage or data transmission over the Internet, or by other means, can be guaranteed to be 100",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,"Governing Law These Sites are published in the United States. We attempt to protect the personal information of all users of our Sites and we attempt to comply with local data protection and consumer rights laws to the extent they may apply to PRH's services, but our family of Sites are located and targeted to United States citizens and our policies are directed at compliance with those laws. If you are uncertain whether this Privacy Policy conflicts with the applicable local privacy laws where you are located, you should not submit your personal information to PRH.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,"If such access is required, the third parties will be obligated to maintain the confidentiality and security of that personally identifiable information.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,"We take reasonable security measures to protect your information, including the use of physical, technical and administrative controls. Please understand, however, that while we try our best to safeguard your personally identifiable information once we receive it, no transmission of data over the Internet or any other public network can be guaranteed to be 100% secure. You need to help protect the privacy of your own information. You must take precautions to protect the security of any personally identifiable information that you may transmit over any home networks, wireless routers, wireless (WiFi) networks or similar devices by using encryption and other techniques to prevent unauthorized persons from intercepting or receiving any of your personally identifiable information. You are responsible for the security of your information when using unencrypted, open access or otherwise unsecured networks.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,"When updating your personal information, we may ask you to verify your identity before we can act on your request.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,"We offer you two step verification when you access your Google Account, and a Safe Browsing feature in Google Chrome.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
103,We encrypt many of our services using SSL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104,"We review our information collection, storage and processing practices, including physical security measures, to guard against unauthorized access to systems.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105,"We restrict access to personal information to Google employees, contractors and agents who need to know that information in order to process it for us, and who are subject to strict contractual confidentiality obligations and may be disciplined or terminated if they fail to meet these obligations.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,"We work hard to protect Google and our users from unauthorized access to or unauthorized alteration, disclosure or destruction of information we hold. In particula",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,"We work hard to protect Google and our users from unauthorized access to or unauthorized alteration, disclosure or destruction of information we hold.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,We encrypt many of our services using SSL.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
109,We regularly review our compliance with our Privacy Policy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110,We also adhere to several self regulatory frameworks.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,"Protecting the privacy and security of your personal information is a priority at Barnes & Noble, and we believe that a single, comprehensive privacy policy that is straightforward and clear is in the best interests of our customers and our businesses.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,"Security: We follow security standards, processes and procedures that are designed to protect your personal information.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"We follow security standards, processes and procedures that are designed to protect your personal information.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,The issuer is contractually obliged to maintain the confidentiality and security of the personal information we provide and is restricted from using such information in any way not expressly authorized by us.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115,Protecting the privacy and security of your personal information is a priority at Barnes & Noble.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Protecting the privacy and security of your personal information is a priority at Barnes & Noble,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,They are contractually obligated to use such information only as necessary to assist us and to maintain the confidentiality and security of such information.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,"We take significant and appropriate security measures, including physical, technological and procedural measures, to help to safeguard your personal information and to prevent unauthorized access and disclosure.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,"In addition, we use industry-standard technology, such as Secure Sockets Layer (SSL) encryption technology in the transmission of certain sensitive personal information, designed to prevent unauthorized persons from gaining access to your personal information, and, as technology develops, we intend to take additional measures to improve security.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120,"In addition, we use industry-standard technology, such as Secure Sockets Layer (SSL) encryption technology in the transmission of certain sensitive personal information, designed to prevent unauthorized persons from gaining access to your personal information",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121,"While we are focused on the security of your personal information and follow strict standards, processes and procedures that are designed to protect your personal information,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,"e want you to feel confident whenever you visit us in our stores, on the Barnes & Noble Websites, or use Barnes & Noble Devices or Apps. While we are focused on the security of your personal information and follow strict standards, processes and procedures that are designed to protect your personal information, you must remember that the Internet is a global communications vehicle open to threats, viruses and intrusions from others and so we cannot promise, and you should not expect, that we will be able to protect your personal information at all times and in all circumstances.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,"We want you to feel confident whenever you visit us in our stores, on the Barnes & Noble Websites, or use Barnes & Noble Devices or Apps. While we are focused on the security of your personal information and follow strict standards, processes and procedures that are designed to protect your personal information, you must remember that the Internet is a global communications vehicle open to threats, viruses and intrusions from others and so we cannot promise, and you should not expect, that we will be able to protect your personal information at all times and in all circumstances.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,"Barnes & Noble has received TRUSTe's Privacy Seal signifying that this privacy statement and our practices have been reviewed for compliance with the TRUSTe program viewable on the validation page available by clicking the TRUSTe seal. The TRUSTe program covers only information that is collected through uk.nook.com, www.nookpress.com, NOOK Apps and your interactions with NOOK Simple Touch, NOOK Simple Touch GlowLight, NOOK GlowLight, NOOK HD and NOOK HD+.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125,Barnes & Noble has received TRUSTe's Privacy Seal signifying that this privacy statement and our practices have been reviewed for compliance with the TRUSTe program viewable on the validation page available by clicking the TRUSTe seal.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Our website is scanned on a regular basis for security holes and known vulnerabilities in order to make your visit to our site as safe as possible.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,How do we protect visitor information? Our website is scanned on a regular basis for security holes and known vulnerabilities in order to make your visit to our site as safe as possible.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,"In addition, all sensitive/credit information you supply is encrypted via Secure Socket Layer (SSL) technology.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
129,Your personal information is contained behind secured networks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130,"accessible by a limited number of persons who have special access rights to such systems, and are required to keep the information confidential.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,all sensitive/credit information you supply is encrypted via Secure Socket Layer (SSL) technology.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132,"Your personal information is contained behind secured networks and is only accessible by a limited number of persons who have special access rights to such systems, and are required to keep the information confidential.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,"is only accessible by a limited number of persons who have special access rights to such systems, and are required to keep the information confidential.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,"We implement a variety of security measures enters, submits, or accesses their information to maintain the safety of your personal information.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,All transactions are processed through a gateway provider and are not stored or processed on our servers.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Users can visit our site anonymously,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,"In order to be in line with Fair Information Practices we will take the following responsive action, should a data breach occur:",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
