,Clause,Personal notice,Unspecified,General notice on website,Other,General notice in privacy policy,No notification
27,"We may e-mail periodic reminders of our notices and conditions,",1.0,0.0,0.0,0.0,0.0,0.0
28,without the consent of affected customers.,0.0,1.0,0.0,0.0,0.0,0.0
29,email,1.0,0.0,0.0,0.0,0.0,0.0
30,by means of a notice on our home page,0.0,0.0,1.0,0.0,0.0,0.0
31,home page,0.0,0.0,1.0,0.0,0.0,0.0
32,other places we deem appropriate,0.0,1.0,0.0,0.0,0.0,0.0
33,we will notify you here,0.0,0.0,0.0,0.0,1.0,0.0
34,"by email,",1.0,0.0,0.0,0.0,0.0,0.0
35,we will post those changes to this privacy statement,0.0,0.0,0.0,0.0,1.0,0.0
36,the home page,0.0,0.0,1.0,0.0,0.0,0.0
37,or by means of a notice on our home page,0.0,0.0,1.0,0.0,0.0,0.0
38,"Last Updated, December 5, 2014 . To see what has changed click here",0.0,0.0,0.0,0.0,1.0,0.0
39,"such as this Privacy Notice,",1.0,0.0,0.0,0.0,0.0,0.0
40,"We may e-mail periodic reminders of our notices and conditions, unless you have instructed us not to, but you should check our Web site frequently to see recent changes.",1.0,0.0,0.0,0.0,0.0,0.0
41,"e-mail periodic reminders of our notices and conditions, unless you have instructed us not to, but you should check our Web site frequently to see recent changes.",1.0,0.0,0.0,0.0,0.0,0.0
42,"We may e-mail periodic reminders of our notices and conditions, unless you have instructed us not to,",1.0,0.0,0.0,0.0,0.0,0.0
43,but you should check our Web site frequently to see recent changes.,0.0,0.0,0.0,0.0,1.0,0.0
44,"Last Modified: June 19, 2015",0.0,0.0,0.0,0.0,1.0,0.0
45,or changes to our policies,1.0,0.0,0.0,0.0,0.0,0.0
46,provide notice,1.0,0.0,0.0,0.0,0.0,0.0
47,We will provide noticeto you if these changes are material,0.0,1.0,0.0,0.0,0.0,0.0
48," 9. Changes to this Privacy Policy    From time to time, we may change this privacy policy to accommodate new technologies, industry practices, regulatory requirements or for other purposes. We will provide noticeto you if these changes are material and, where required by applicable law, we will obtain your consent.  ",0.0,1.0,0.0,0.0,0.0,0.0
49,last email address you provided us,1.0,0.0,0.0,0.0,0.0,0.0
50,"posting notice of such changes on our sites and applications,",0.0,0.0,1.0,0.0,0.0,0.0
51,"Posted: Tuesday, September 18, 2012 12:29 pm Updated: Thursday, May 21, 2015 3:22 pm.",0.0,0.0,0.0,0.0,1.0,0.0
52,we will post these changes here,0.0,0.0,0.0,0.0,1.0,0.0
53," Privacy Policy Changes    If we decide to change our privacy policy, we will post these changes here so that you will always know what information we gather, how we might use that information and whether we will disclose it to anyone. If, at any time, you have questions or concerns about The News-Post's privacy policy, please feel free to e-mail us at webmaster@newspost.com or call 301-662-1177 and speak to our Director of Online Operations.  ",0.0,1.0,0.0,0.0,0.0,0.0
54,they are posted on the website,0.0,0.0,1.0,0.0,0.0,0.0
55,"Revised May 3, 2012.  ",0.0,1.0,0.0,0.0,0.0,0.0
56,"We will give you notice of the revised Privacy Policy by posting the revised policy on the Site and by revising the ""effective date"" set forth above.",0.0,0.0,0.0,1.0,0.0,1.0
57,We will give you notice of the revised Privacy Policy by posting the revised policy on the Site,0.0,0.0,1.0,0.0,0.0,0.0
58,"by revising the ""effective date"" set forth above.",0.0,0.0,0.0,0.0,1.0,0.0
59,by other appropriate means,0.0,1.0,0.0,0.0,0.0,0.0
60,notify you of changes by posting changes here,0.0,0.0,0.0,0.0,1.0,0.0
61,We will notify you of changes by posting changes here,0.0,0.0,0.0,0.0,1.0,0.0
62,"We will notify you of changes by posting changes here, or by other appropriate means",0.0,0.0,0.0,0.0,1.0,0.0
63,This privacy policy was last revised per the date listed below.,0.0,0.0,0.0,0.0,1.0,0.0
64,This document was last revised on 09/29/2011,0.0,0.0,0.0,0.0,1.0,0.0
65," How We Use Your Information    We use the information you submit (including any personal information) to operate, maintain and provide to you the features and functionality of the Service or otherwise in connection with our business in relation to the Service. By using the Service you consent to this use and any other use of information identified in this Privacy Policy. For example, if you enter an online sweepstakes, we will use this information to notify you if you are a winner. We may also use the information to communicate with you about new features, products or services, and/or to improve the services that we offer by tailoring them to your needs.  ",0.0,1.0,0.0,0.0,0.0,0.0
66, Changes to Our Privacy Policy    We reserve the right to change this Privacy Policy at any time. Please check this page periodically for changes. Your continued use of the Website following the posting of changes to this Privacy Policy will constitute acceptance of those changes. Information collected prior to the time any change is posted will be used according to the rules and law that applied at the time the information was collected.  ,0.0,1.0,0.0,0.0,0.0,0.0
67,Please check this page periodically for changes.,0.0,0.0,0.0,0.0,1.0,0.0
68,CCEPTANCE OF THESE TERMS; CHANGES TO OUR PRIVACY POLICY,0.0,1.0,0.0,0.0,0.0,0.0
69,We recommend that you check the posted Privacy Policy,0.0,0.0,0.0,0.0,1.0,0.0
70,recommend that you check the posted Privacy Policy,0.0,1.0,0.0,0.0,0.0,0.0
71,We recommend that you check the posted Privacy Policy when you visit any of our sites,0.0,0.0,0.0,0.0,1.0,0.0
72,"Last Update May 24, 2014",0.0,0.0,0.0,0.0,1.0,0.0
73,without notice.,0.0,0.0,0.0,0.0,0.0,1.0
74,we will provide prominent notice of the change on the Sites.,0.0,0.0,1.0,0.0,0.0,0.0
75,this document will be updated accordingly.,0.0,1.0,0.0,0.0,1.0,0.0
76,without notice,0.0,0.0,0.0,0.0,0.0,1.0
77,rom time to time without notice,0.0,0.0,0.0,0.0,0.0,1.0
78,we will provide you with notice of the modifications or amendments and seek your consent for such use.,0.0,0.0,0.0,1.0,0.0,0.0
79,we will provide you with notice of the modifications or amendments,0.0,1.0,0.0,0.0,0.0,0.0
80,"Privacy Policy Last modified: June 30, 2015 ( view archived versions)",0.0,0.0,0.0,0.0,1.0,0.0
81,give affected users notice,1.0,0.0,0.0,0.0,0.0,0.0
82,Our Privacy Policy may change from time to time,0.0,1.0,0.0,0.0,0.0,0.0
83,We will not reduce your rights under this Privacy Policy without your explicit consent,0.0,1.0,0.0,0.0,0.0,0.0
84,post any privacy policy changes on this page,0.0,0.0,0.0,0.0,1.0,0.0
85,we will provide a more prominent notice,0.0,1.0,0.0,0.0,0.0,0.0
86,"including, for certain services, email notification of privacy policy changes",1.0,0.0,0.0,0.0,0.0,0.0
87,"We will post any privacy policy changes on this page and, if the changes are significant, we will provide a more prominent notice (including, for certain services, email notification of privacy policy changes).",1.0,0.0,0.0,0.0,0.0,0.0
88,We will post any privacy policy changes on this page,0.0,0.0,0.0,0.0,1.0,0.0
89,email notification of privacy policy changes,1.0,0.0,0.0,0.0,0.0,0.0
90,"Effective Date: April 1, 2015",0.0,0.0,0.0,0.0,1.0,0.0
91,"To review the prior version of Barnes & Noble's Privacy Policy, please click here.",0.0,0.0,0.0,0.0,1.0,0.0
92,"To review the prior version of Barnes & Noble's Privacy Policy, please click here.  ",0.0,1.0,0.0,0.0,0.0,0.0
93,"These current privacy policies and the privacy practices described herein apply to personal information previously collected from you by Barnes & Noble, Inc. and each of its subsidiaries, as well as personal information that they may collect from you in the future.  ",0.0,1.0,0.0,0.0,0.0,0.0
94,"email reminders,",1.0,0.0,0.0,0.0,0.0,0.0
95,"notice on this site,",0.0,0.0,1.0,0.0,0.0,0.0
96,ther acceptable means.,0.0,1.0,0.0,0.0,0.0,0.0
97,email reminders,1.0,0.0,0.0,0.0,0.0,0.0
98,by notice on this site,0.0,0.0,1.0,0.0,0.0,0.0
99,by other acceptable means,0.0,0.0,0.0,1.0,0.0,0.0
100,We may notify you of these changes by email reminders,1.0,0.0,0.0,0.0,0.0,0.0
101,notice to you at your email address,1.0,0.0,0.0,0.0,0.0,0.0
102,Users will be notified of any privacy policy changes: On our Privacy Policy Page,0.0,0.0,0.0,0.0,1.0,0.0
103,On our Privacy Policy Page,0.0,0.0,0.0,0.0,1.0,0.0
104,Last Edited on 10/2014,0.0,0.0,0.0,0.0,1.0,0.0
105,"CRP will post the updated version, including the effective date of the revision or update, on OpenSecrets.org.",0.0,0.0,1.0,0.0,0.0,0.0
106,"This Policy was last changed on October 24, 2014",0.0,0.0,1.0,0.0,0.0,0.0
107," Everyday Health Privacy Policy    This Policy was last changed on October 24, 2014  ",0.0,1.0,0.0,0.0,0.0,0.0
108,"By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy.",0.0,1.0,0.0,0.0,0.0,0.0
109,"without prior notice, an",0.0,0.0,0.0,0.0,0.0,1.0
110," 11. How To Contact Us    If you have any questions regarding privacy or this Policy, you may contact us as follows: Telephone: 888-795-4719 Email: privacy@everydayhealth.com Address: Everyday Health, LLC 345 Hudson Street, 16th Floor New York, NY 10014    12. Privacy Policy Changes    We reserve the right to change, modify, add or remove portions of this Policy at any time and without prior notice, and any changes will become effective immediately upon being posted unless we advise you otherwise. Your continued use of the Site or Services after this Policy has been amended shall be deemed to be your continued acceptance of the terms and conditions of the Policy, as amended. We encourage you to bookmark this Web page and review this Policy regularly.",0.0,1.0,0.0,0.0,0.0,0.0
111,"Last updated and effective as of April 28, 2014",0.0,0.0,0.0,0.0,1.0,0.0
112,"posting of the revisions to the Sites,",0.0,0.0,1.0,0.0,0.0,0.0
113,distribution by electronic mail.,1.0,0.0,0.0,0.0,0.0,0.0
114,(a) posting of the revisions to the Sites,0.0,0.0,1.0,0.0,0.0,0.0
115," What is the effective date of this Policy and when does this policy apply?    This Policy is effective as of the date set out above. We reserve the right to modify this Policy at any time, and such revisions will become effective upon the earlier of (a) posting of the revisions to the Sites, or (b) distribution by electronic mail. Your continued use of any of the Sites or the Services after the effective date of the revisions means that you accept and agree to any such revisions. This Policy applies solely to our on-line information gathering and disclosure practices in connection with the Sites, and does not apply to any of our practices conducted off-line.  ",0.0,1.0,0.0,0.0,0.0,0.0
116,mail a,1.0,0.0,0.0,0.0,0.0,0.0
117,prominent notice on the Sites.,0.0,0.0,1.0,0.0,0.0,0.0
118,post a notification and link on our Website's homepage,0.0,0.0,1.0,0.0,0.0,0.0
119,we will post a notification and link on our Website's homepage,0.0,0.0,1.0,0.0,0.0,0.0
120,we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website (http://www.foodallergy.org) indicating that there has been a change or update to the Privacy Policy,0.0,0.0,1.0,0.0,0.0,0.0
121,we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website,0.0,0.0,1.0,0.0,0.0,0.0
122,by posting a notice prominently on the main page of our website,0.0,0.0,1.0,0.0,0.0,0.0
123,All changes to this policy will be posted on the IFSA-Butler website. We encourage you to periodically review this policy to remain up to date on our privacy practices.,0.0,0.0,1.0,0.0,0.0,1.0
124,All changes to this policy will be posted on the IFSA-Butler website.,0.0,0.0,1.0,0.0,0.0,0.0
125,"Users will be notified via email prior to a change of ownership or control of their personal information. If as a result of the business transition, the users? personally identifiable information will be used in a manner different from that stated at the time of collection they will be given choice consistent with our notification of changes section.",0.0,1.0,0.0,0.0,0.0,0.0
126,"we will post those changes to this privacy statement,",0.0,0.0,0.0,0.0,1.0,0.0
127,"the homepage,",0.0,0.0,1.0,0.0,0.0,0.0
128,"we will post those changes to this privacy statement, the homepage, and other places we deem appropriate",0.0,0.0,1.0,0.0,0.0,0.0
129,we will notify users via email.,1.0,0.0,0.0,0.0,0.0,0.0
130,we will post a prominent notice on our Web site notifying users of the change.,0.0,0.0,1.0,0.0,0.0,0.0
131,notify users via email,1.0,0.0,0.0,0.0,0.0,0.0
132,"Last updated: June 23, 2015",0.0,0.0,0.0,0.0,1.0,0.0
133,Changes to This Privacy Policy and Additional Information,0.0,1.0,0.0,0.0,0.0,0.0
134,you will be provided with appropriate online notice.,0.0,1.0,0.0,1.0,0.0,0.0
135,appropriate online notice,0.0,1.0,0.0,0.0,0.0,0.0
136,"we will inform you of such change by posting an updated privacy policy at this location or through email notification, at our option.",1.0,0.0,0.0,0.0,1.0,0.0
137,e will inform you of such change by posting an updated privacy policy at this location,0.0,0.0,0.0,0.0,1.0,0.0
138,through email notification,1.0,0.0,0.0,0.0,0.0,0.0
139,we will inform you of such change by posting an updated privacy policy at this location,0.0,0.0,0.0,0.0,1.0,0.0
140,post the revised Privacy Notice on this website,0.0,0.0,1.0,0.0,0.0,0.0
141,"e'll post the revised Privacy Notice on this website and update the ""Last Updated"" date to reflect the date of the changes.",0.0,0.0,0.0,0.0,1.0,0.0
142,in which case we'll post the revised Privacy Notice on this website,0.0,0.0,1.0,0.0,0.0,0.0
143,"update the ""Last Updated"" date to reflect the date of the changes.",0.0,0.0,0.0,0.0,1.0,0.0
144,"Last revised: January 07, 2014",0.0,0.0,0.0,0.0,1.0,0.0
145,"This Privacy Policy explains what information we collect, how we use it, how other companies may use it, and tracking technologies used to collect information. If we make any material changes to our privacy practices, we will post a revised Privacy Policy on this page. If you have any questions, please contact us by sending an email here http://content.dictionary.com/about/contact or writing to Dictionary.com LLC, ATTN: Legal Department, 555 12th Street, 5th Floor, Oakland, CA 94607.  ",0.0,1.0,0.0,0.0,0.0,0.0
146,"If we make any material changes to our privacy practices, we will post a revised Privacy Policy on this page. I",0.0,0.0,0.0,0.0,1.0,0.0
147," Privacy Policy     Effective Date    This Privacy Policy is applicable to www.prometheusgm.com, www.billboard.com, www.billboard.biz, www.adweek.com, www.backstage.com, www.hollywoodreporter.com, www.clioawards.com, www.filmjournal.com and any other site that may be operated by or for Prometheus Global Media (togetheher, the ""Websites""). It explains how we collect information from users of the Websites and how we use such information. Your use of the Websites constitutes your acceptance of this Privacy Policy. Please also read our Terms of Use , which govern the basic operation of the Websites.  ",0.0,1.0,0.0,0.0,0.0,0.0
148,notice,0.0,0.0,1.0,0.0,0.0,0.0
149,personal,0.0,0.0,0.0,0.0,0.0,1.0
150,notice by means that are reasonable under the circumstances,0.0,0.0,0.0,1.0,0.0,0.0
151,by posting a notice on the Websites.,0.0,0.0,1.0,0.0,0.0,0.0
152,"we will provide notice by means that are reasonable under the circumstances, such as by posting a notice on the Websites.",0.0,0.0,1.0,0.0,0.0,0.0
153,posted to this page,0.0,0.0,0.0,0.0,1.0,0.0
154,The revised Privacy Policy will be posted to this page,0.0,0.0,0.0,0.0,1.0,0.0
155,"This Privacy Policy may be changed by Time Inc. The revised Privacy Policy will be posted to this page so that you are aware of the information we collect, how we use it, and under what circumstances we may disclose it.",0.0,0.0,0.0,0.0,1.0,0.0
156,"This Privacy Policy was revised Jan. 2, 2014.",0.0,1.0,0.0,0.0,1.0,0.0
157,"we will post those changes to this privacy policy so our users are always aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it. We suggest periodically visiting this page to review our policies and procedures.",0.0,0.0,0.0,0.0,1.0,0.0
158,we will post those changes to this privacy policy,0.0,0.0,0.0,0.0,1.0,0.0
159,"If we decide to change our privacy policies and procedures, we will post those changes to this privacy policy",0.0,0.0,0.0,0.0,1.0,0.0
160,"we will post the revised information here, with a revised ""effective date"" at the top of this privacy policy.",0.0,0.0,0.0,0.0,1.0,1.0
161,"If there are material changes to this privacy policy or in how we will use your personal information, we may notify you by other means, such as sending an email to you",1.0,0.0,0.0,0.0,0.0,0.0
162,"we may notify you by other means, such as sending an email to you",1.0,0.0,0.0,0.0,0.0,0.0
163,or by posting a notice of such changes on our website.,0.0,0.0,1.0,0.0,0.0,0.0
164,we will post the revised information here,0.0,0.0,0.0,0.0,1.0,0.0
165,posting a notice of such changes on our website,0.0,0.0,1.0,0.0,0.0,0.0
166,"This policy is current as of its last revision date. However, please note that this policy may be amended from time to time to reflect changes and additions to the privacy policy. Please check back for the most current version before relying on any of the provisions in this privacy policy.  ",0.0,1.0,0.0,0.0,0.0,0.0
167,Please check back for the most current version before relying on any of the provisions in this privacy policy.,0.0,0.0,0.0,0.0,1.0,0.0
168,Revision Date: March 24th 2015,0.0,1.0,0.0,0.0,1.0,0.0
169,Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours.,0.0,0.0,0.0,1.0,0.0,0.0
170,to send you,1.0,0.0,0.0,0.0,0.0,0.0
171,notify and obtain consent from a parent or guardian,1.0,0.0,0.0,0.0,0.0,0.0
172,"update it on this page and modify the ""LastUpdated"" date",0.0,0.0,0.0,0.0,1.0,0.0
173,"we will update it on this page and modify the ""LastUpdated"" date.",0.0,0.0,0.0,0.0,1.0,0.0
174,"If our information practices change in a significant way, we will provide a more prominent notice.",0.0,1.0,0.0,0.0,0.0,0.0
175,"We may revise this privacy policy from time to time and, if we do, we will update it on this page and modify the ""LastUpdated"" date. If our information practices change in a significant way, we will provide a more prominent notice.Because our privacy policy can change at any time, we encourage you to reread it periodically to see if there have been any changes that affect you.",0.0,0.0,0.0,0.0,1.0,0.0
176,we will update it on this page,0.0,0.0,0.0,0.0,1.0,0.0
177,"Last Updated: October 3, 2014 s",0.0,0.0,0.0,0.0,1.0,0.0
178,we will announce them,0.0,1.0,0.0,1.0,0.0,0.0
179,notify you via email,1.0,0.0,0.0,0.0,0.0,0.0
180,notify you via email.,1.0,0.0,0.0,0.0,0.0,0.0
181,we will announce them and notify you via email,1.0,0.0,0.0,0.0,0.0,0.0
182,How will you know whether The Motley Fool's privacy policy has changed-,0.0,1.0,0.0,0.0,0.0,0.0
183,notified via email,1.0,0.0,0.0,0.0,0.0,0.0
184,and/or a prominent notice on our Web site,0.0,0.0,1.0,0.0,0.0,0.0
185,on our websites,0.0,0.0,1.0,0.0,0.0,0.0
186,and/or in email messages,1.0,0.0,0.0,0.0,0.0,0.0
187,We encourage you to periodically review this page,0.0,0.0,0.0,0.0,1.0,0.0
188,on our websites and/or in email messages prior to the change becoming effective,1.0,0.0,0.0,0.0,0.0,0.0
189,"Last Updated: December 1st, 2014",0.0,0.0,0.0,0.0,1.0,0.0
190,The revised policy will be posted on the MediaNews Web site,0.0,0.0,1.0,0.0,0.0,0.0
191,MediaNews may change this privacy policy from time to time. The revised policy will be posted on the MediaNews Web site. Please check this page periodically for changes.  ,0.0,1.0,0.0,0.0,0.0,0.0
192,evised policy will be posted on the MediaNews Web site,0.0,0.0,1.0,0.0,0.0,0.0
193,posting the changed Privacy Policy on the Site.,0.0,0.0,1.0,0.0,0.0,0.0
194,we will inform you by posting the changed Privacy Policy on the Site,0.0,0.0,0.0,0.0,1.0,0.0
195,inform you by posting the changed Privacy Policy on the Site,0.0,0.0,1.0,0.0,0.0,0.0
196,Not selected,0.0,1.0,0.0,0.0,0.0,0.0
197,"Last Updated: September 1, 2013",0.0,0.0,0.0,0.0,1.0,0.0
198,post those changes on this page,0.0,0.0,0.0,1.0,0.0,0.0
199,we will post those changes on this page.,0.0,0.0,0.0,0.0,1.0,0.0
200,"Revised May 29, 2015",0.0,0.0,0.0,0.0,1.0,0.0
201,Each of our customers receives a copy of our privacy policy annually.,1.0,0.0,0.0,0.0,0.0,0.0
202,Please take a look at the revised date at the top of this page to see when this Privacy Policy was last revised. Each of our customers receives a copy of our privacy policy annually.,0.0,0.0,0.0,0.0,1.0,0.0
203,Please take a look at the revised date at the top of this page to see when this Privacy Policy was last revised.,0.0,0.0,0.0,0.0,1.0,0.0
204,"If we make a material change to our online Privacy Statement, we will post a notice on our homepage notifying users that the policy has been revised.",0.0,0.0,1.0,0.0,0.0,0.0
205,we will post a notice on our homepage notifying users that the policy has been revised.,0.0,0.0,1.0,0.0,0.0,0.0
206,We may email reminders of our notices and conditions.,1.0,0.0,0.0,0.0,0.0,0.0
207,"You should frequently check our website to see recent changes to these terms and policies. Unless stated otherwise, our current privacy notice applies to all information that we have about you and your account.",0.0,0.0,1.0,0.0,0.0,0.0
208,"By visiting the Site(s) or using any of the Curse Features, you consent to Curse' collection, use, storage, deletion and disclosure of information relating to you as set forth in this Privacy Policy.",0.0,1.0,0.0,0.0,0.0,0.0
209,This Privacy Policy may change from time to time and we will post all changes on this page.,0.0,0.0,0.0,0.0,1.0,0.0
210,we will post all changes on this page.,0.0,0.0,1.0,0.0,0.0,0.0
211,and any such changes will be included on this page.,0.0,0.0,0.0,0.0,1.0,0.0
212,"you will be notified by email of our intentions,",1.0,0.0,0.0,0.0,0.0,0.0
213,"ACCEPTANCE OF THESE TERMS Your use of the Science Website shall indicate your understanding and acceptance of the terms of this Privacy Statement. If you do not agree with all of the terms herein, you should not use the Science Website or services.",0.0,1.0,0.0,0.0,0.0,0.0
214,"we will post those changes here so that you will always know what information we gather, how we might use that information, and to whom we will disclose it. If",0.0,0.0,0.0,0.0,1.0,0.0
215,"If we decide to change our Privacy Statement for the Science websites, we will post those changes here so that you will always know what information we gather, how we might use that information, and to whom we will disclose it.",0.0,0.0,0.0,0.0,1.0,0.0
216,we will notify you by posting notice of the change on www.us.playstation.com or on our other websites. We will post the changes in the privacy policy,0.0,0.0,1.0,0.0,0.0,0.0
217,e will post the changes in the privacy policy,0.0,0.0,0.0,0.0,1.0,0.0
218,we will notify you by posting notice of the change on www.us.playstation.com or on our other websites.,0.0,0.0,1.0,0.0,0.0,0.0
219,we will notify you by posting notice of the change on www.us.playstation.com or on our other websites,0.0,0.0,1.0,0.0,0.0,0.0
220,"We will post the changes in the privacy policy and, if necessary, give you additional choices regarding changes.",0.0,0.0,0.0,0.0,1.0,0.0
221,"Effective Date: March 5, 2014",0.0,0.0,0.0,0.0,1.0,0.0
222,Changes to this Privacy Policy,0.0,1.0,0.0,0.0,0.0,0.0
223,To notify you,0.0,1.0,0.0,0.0,0.0,0.0
224,  To notify you about changes to our Services  ,0.0,1.0,0.0,0.0,0.0,0.0
225,on this page,0.0,0.0,0.0,0.0,1.0,0.0
226,with a notice that the Privacy Policy has been updated on the home pages of the Websites,0.0,0.0,1.0,0.0,0.0,0.0
227,"If we make material changes to how we treat our users information, we will notify you by e-mail to the primary e-mail address specified in your account",1.0,0.0,0.0,0.0,0.0,0.0
228,to post any changes we make to our Privacy Policy on this page,0.0,0.0,0.0,0.0,1.0,0.0
229,we will notify you by e-mail to the primary e-mail address specified in your account,1.0,0.0,0.0,0.0,0.0,0.0
230,and through a notice on the home pages of the Websites.,0.0,0.0,1.0,0.0,0.0,0.0
231,we will notify you by e-mail to the primary e-mail address specified in your account and through a notice on the home pages of the Websites,1.0,0.0,0.0,0.0,0.0,0.0
232,Your continued use of the Services after such modifications will constitute your: (a) acknowledgment of the modified Privacy Policy; and (b) agreement to abide and be bound by the modified Privacy Policy.  ,0.0,1.0,0.0,0.0,0.0,0.0
233,use of the Services after such modifications,0.0,1.0,0.0,0.0,0.0,0.0
234,we will notify parents by email in order to obtain verifiable parental consent for the new uses of their childs Personally Identifiable Information,1.0,0.0,0.0,0.0,0.0,0.0
235,we will notify parents by email,1.0,0.0,0.0,0.0,0.0,0.0
236,"Effective Date   This Privacy Policy is effective as of October 27, 2007 and will remain in effect unless changed. UpToDate may modify this Privacy Policy at any time, and such modifications shall be effective immediately upon posting of the modified Privacy Policy on the Website.  ",0.0,1.0,0.0,0.0,0.0,0.0
237,"Last Revised: December 23, 2013",0.0,0.0,0.0,0.0,1.0,0.0
238,that policy will be posted on their site.,0.0,0.0,1.0,0.0,0.0,0.0
239,"we will post a notice on the home page of www.cariboucoffee.com and change the date at the top of this Privacy Statement,",0.0,0.0,1.0,0.0,0.0,0.0
240,"If we change this Privacy Statement, we will post a notice on the home page of www.cariboucoffee.com",0.0,0.0,1.0,0.0,0.0,0.0
241,"and change the date at the top of this Privacy Statement,",0.0,0.0,0.0,0.0,1.0,0.0
242,we will post a notice on the home page of www.cariboucoffee.com,0.0,0.0,1.0,0.0,0.0,0.0
243,and change the date at the top of this Privacy Statement,0.0,0.0,0.0,0.0,1.0,0.0
244,when posted,0.0,1.0,0.0,0.0,0.0,0.0
245,"All changes will become effective when posted, and by continuing to use the Site following the posting of any changes, you agree to be bound by such modified Privacy Statement.  ",0.0,1.0,0.0,0.0,0.0,0.0
246,"The revised Privacy Policy will be posted to this page so that you are aware of the information we collect, how we use it, and under what circumstances we may disclose it.",0.0,0.0,0.0,1.0,0.0,0.0
247,Chase Paymentech reserves the right to change this Privacy Statement without notice at any time,0.0,0.0,0.0,0.0,0.0,1.0
248," Modifications to Privacy Statement    We continue to review our policies and procedures to assure that they are effective in meeting our commitments to our Merchants. Chase Paymentech reserves the right to change this Privacy Statement without notice at any time and from time to time, including as needed to comply with the rules and regulations of the various debit and credit card organizations, or to comply with applicable local, state and federal laws and regulations.  ",0.0,1.0,0.0,0.0,0.0,0.0
249,without notice at any time and from time to time,0.0,0.0,0.0,0.0,0.0,1.0
250,Please check this page periodically for any changes.,0.0,0.0,0.0,0.0,1.0,0.0
251,Last Updated: March 2015,0.0,0.0,0.0,0.0,1.0,0.0
252,Please check this page periodically for changes. We will post a notice on this site if and when this policy changes to alert visitors that a new policy is in place.,0.0,0.0,0.0,0.0,1.0,0.0
253,We will post a notice on this site if and when this policy changes to alert visitors that a new policy is in place,0.0,0.0,0.0,0.0,1.0,0.0
254,We will post a notice on this site,0.0,0.0,0.0,0.0,1.0,0.0
255,"This Privacy Policy is effective as of February 6, 2009.",0.0,0.0,0.0,0.0,1.0,0.0
256,the changes will be posted on this page thirty (30) days prior to taking effect and will not affect children's personal information previously collected.,0.0,0.0,0.0,1.0,1.0,0.0
