,Clause,Category
60," Privacy Policy Changes    If we decide to change our privacy policy, we will post these changes here so that you will always know what information we gather, how we might use that information and whether we will disclose it to anyone. If, at any time, you have questions or concerns about The News-Post's privacy policy, please feel free to e-mail us at webmaster@newspost.com or call 301-662-1177 and speak to our Director of Online Operations.  ",Unspecified
61,they are posted on the website,General notice on website
62,"Revised May 3, 2012.  ",Unspecified
63,"We will give you notice of the revised Privacy Policy by posting the revised policy on the Site and by revising the ""effective date"" set forth above.",Other
64,"We will give you notice of the revised Privacy Policy by posting the revised policy on the Site and by revising the ""effective date"" set forth above.",No notification
65,We will give you notice of the revised Privacy Policy by posting the revised policy on the Site,General notice on website
66,"by revising the ""effective date"" set forth above.",General notice in privacy policy
67,by other appropriate means,Unspecified
68,notify you of changes by posting changes here,General notice in privacy policy
69,We will notify you of changes by posting changes here,General notice in privacy policy
70,"We will notify you of changes by posting changes here, or by other appropriate means",General notice in privacy policy
71,This privacy policy was last revised per the date listed below.,General notice in privacy policy
72,This privacy policy was last revised per the date listed below.,General notice in privacy policy
73,This document was last revised on 09/29/2011,General notice in privacy policy
74," How We Use Your Information    We use the information you submit (including any personal information) to operate, maintain and provide to you the features and functionality of the Service or otherwise in connection with our business in relation to the Service. By using the Service you consent to this use and any other use of information identified in this Privacy Policy. For example, if you enter an online sweepstakes, we will use this information to notify you if you are a winner. We may also use the information to communicate with you about new features, products or services, and/or to improve the services that we offer by tailoring them to your needs.  ",Unspecified
75, Changes to Our Privacy Policy    We reserve the right to change this Privacy Policy at any time. Please check this page periodically for changes. Your continued use of the Website following the posting of changes to this Privacy Policy will constitute acceptance of those changes. Information collected prior to the time any change is posted will be used according to the rules and law that applied at the time the information was collected.  ,Unspecified
76, Changes to Our Privacy Policy    We reserve the right to change this Privacy Policy at any time. Please check this page periodically for changes. Your continued use of the Website following the posting of changes to this Privacy Policy will constitute acceptance of those changes. Information collected prior to the time any change is posted will be used according to the rules and law that applied at the time the information was collected.  ,Unspecified
77,Please check this page periodically for changes.,General notice in privacy policy
78,CCEPTANCE OF THESE TERMS; CHANGES TO OUR PRIVACY POLICY,Unspecified
79,We recommend that you check the posted Privacy Policy,General notice in privacy policy
80,recommend that you check the posted Privacy Policy,Unspecified
81,We recommend that you check the posted Privacy Policy when you visit any of our sites,General notice in privacy policy
82,"Last Update May 24, 2014",General notice in privacy policy
83,without notice.,No notification
84,without notice.,No notification
85,we will provide prominent notice of the change on the Sites.,General notice on website
86,this document will be updated accordingly.,Unspecified
87,we will provide prominent notice of the change on the Sites.,General notice on website
88,this document will be updated accordingly.,General notice in privacy policy
89,without notice,No notification
90,rom time to time without notice,No notification
91,we will provide you with notice of the modifications or amendments and seek your consent for such use.,Other
92,we will provide you with notice of the modifications or amendments,Unspecified
93,"Privacy Policy Last modified: June 30, 2015 ( view archived versions)",General notice in privacy policy
94,give affected users notice,Personal notice
95,Our Privacy Policy may change from time to time,Unspecified
96,We will not reduce your rights under this Privacy Policy without your explicit consent,Unspecified
97,post any privacy policy changes on this page,General notice in privacy policy
98,we will provide a more prominent notice,Unspecified
99,"including, for certain services, email notification of privacy policy changes",Personal notice
100,"We will post any privacy policy changes on this page and, if the changes are significant, we will provide a more prominent notice (including, for certain services, email notification of privacy policy changes).",Personal notice
101,We will post any privacy policy changes on this page,General notice in privacy policy
102,we will provide a more prominent notice,Unspecified
103,email notification of privacy policy changes,Personal notice
104,"Effective Date: April 1, 2015",General notice in privacy policy
105,"To review the prior version of Barnes & Noble's Privacy Policy, please click here.",General notice in privacy policy
106,"To review the prior version of Barnes & Noble's Privacy Policy, please click here.  ",Unspecified
107,"These current privacy policies and the privacy practices described herein apply to personal information previously collected from you by Barnes & Noble, Inc. and each of its subsidiaries, as well as personal information that they may collect from you in the future.  ",Unspecified
108,"These current privacy policies and the privacy practices described herein apply to personal information previously collected from you by Barnes & Noble, Inc. and each of its subsidiaries, as well as personal information that they may collect from you in the future.  ",Unspecified
109,"email reminders,",Personal notice
110,"notice on this site,",General notice on website
111,ther acceptable means.,Unspecified
112,email reminders,Personal notice
113,by notice on this site,General notice on website
114,by other acceptable means,Other
115,We may notify you of these changes by email reminders,Personal notice
116,by notice on this site,General notice on website
117,notice to you at your email address,Personal notice
118,Users will be notified of any privacy policy changes: On our Privacy Policy Page,General notice in privacy policy
119,On our Privacy Policy Page,General notice in privacy policy
120,On our Privacy Policy Page,General notice in privacy policy
121,Last Edited on 10/2014,General notice in privacy policy
122,"CRP will post the updated version, including the effective date of the revision or update, on OpenSecrets.org.",General notice on website
123,"This Policy was last changed on October 24, 2014",General notice on website
124," Everyday Health Privacy Policy    This Policy was last changed on October 24, 2014  ",Unspecified
125,"By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy.",Unspecified
126,"without prior notice, an",No notification
127," 11. How To Contact Us    If you have any questions regarding privacy or this Policy, you may contact us as follows: Telephone: 888-795-4719 Email: privacy@everydayhealth.com Address: Everyday Health, LLC 345 Hudson Street, 16th Floor New York, NY 10014    12. Privacy Policy Changes    We reserve the right to change, modify, add or remove portions of this Policy at any time and without prior notice, and any changes will become effective immediately upon being posted unless we advise you otherwise. Your continued use of the Site or Services after this Policy has been amended shall be deemed to be your continued acceptance of the terms and conditions of the Policy, as amended. We encourage you to bookmark this Web page and review this Policy regularly.",Unspecified
128,"Last updated and effective as of April 28, 2014",General notice in privacy policy
129,"posting of the revisions to the Sites,",General notice on website
130,distribution by electronic mail.,Personal notice
131,(a) posting of the revisions to the Sites,General notice on website
132,distribution by electronic mail.,Personal notice
133," What is the effective date of this Policy and when does this policy apply?    This Policy is effective as of the date set out above. We reserve the right to modify this Policy at any time, and such revisions will become effective upon the earlier of (a) posting of the revisions to the Sites, or (b) distribution by electronic mail. Your continued use of any of the Sites or the Services after the effective date of the revisions means that you accept and agree to any such revisions. This Policy applies solely to our on-line information gathering and disclosure practices in connection with the Sites, and does not apply to any of our practices conducted off-line.  ",Unspecified
134,mail a,Personal notice
135,prominent notice on the Sites.,General notice on website
136,post a notification and link on our Website's homepage,General notice on website
137,we will post a notification and link on our Website's homepage,General notice on website
138,we will post a notification and link on our Website's homepage,General notice on website
139,we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website (http://www.foodallergy.org) indicating that there has been a change or update to the Privacy Policy,General notice on website
140,we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website,General notice on website
141,by posting a notice prominently on the main page of our website,General notice on website
142,All changes to this policy will be posted on the IFSA-Butler website. We encourage you to periodically review this policy to remain up to date on our privacy practices.,No notification
143,All changes to this policy will be posted on the IFSA-Butler website. We encourage you to periodically review this policy to remain up to date on our privacy practices.,General notice on website
144,All changes to this policy will be posted on the IFSA-Butler website.,General notice on website
145,"Users will be notified via email prior to a change of ownership or control of their personal information. If as a result of the business transition, the users? personally identifiable information will be used in a manner different from that stated at the time of collection they will be given choice consistent with our notification of changes section.",Unspecified
146,"we will post those changes to this privacy statement,",General notice in privacy policy
147,we will post those changes to this privacy statement,General notice in privacy policy
148,"the homepage,",General notice on website
149,"the homepage,",General notice on website
150,"we will post those changes to this privacy statement, the homepage, and other places we deem appropriate",General notice on website
151,we will notify users via email.,Personal notice
152,we will post a prominent notice on our Web site notifying users of the change.,General notice on website
153,notify users via email,Personal notice
154,"Last updated: June 23, 2015",General notice in privacy policy
155,Changes to This Privacy Policy and Additional Information,Unspecified
156,you will be provided with appropriate online notice.,Other
157,you will be provided with appropriate online notice.,Unspecified
158,appropriate online notice,Unspecified
159,"we will inform you of such change by posting an updated privacy policy at this location or through email notification, at our option.",General notice in privacy policy
160,"we will inform you of such change by posting an updated privacy policy at this location or through email notification, at our option.",Personal notice
161,e will inform you of such change by posting an updated privacy policy at this location,General notice in privacy policy
162,through email notification,Personal notice
163,we will inform you of such change by posting an updated privacy policy at this location,General notice in privacy policy
164,through email notification,Personal notice
165,post the revised Privacy Notice on this website,General notice on website
166,"e'll post the revised Privacy Notice on this website and update the ""Last Updated"" date to reflect the date of the changes.",General notice in privacy policy
167,in which case we'll post the revised Privacy Notice on this website,General notice on website
168,"update the ""Last Updated"" date to reflect the date of the changes.",General notice in privacy policy
169,"Last revised: January 07, 2014",General notice in privacy policy
170,"This Privacy Policy explains what information we collect, how we use it, how other companies may use it, and tracking technologies used to collect information. If we make any material changes to our privacy practices, we will post a revised Privacy Policy on this page. If you have any questions, please contact us by sending an email here http://content.dictionary.com/about/contact or writing to Dictionary.com LLC, ATTN: Legal Department, 555 12th Street, 5th Floor, Oakland, CA 94607.  ",Unspecified
171,"If we make any material changes to our privacy practices, we will post a revised Privacy Policy on this page. I",General notice in privacy policy
172," Privacy Policy     Effective Date    This Privacy Policy is applicable to www.prometheusgm.com, www.billboard.com, www.billboard.biz, www.adweek.com, www.backstage.com, www.hollywoodreporter.com, www.clioawards.com, www.filmjournal.com and any other site that may be operated by or for Prometheus Global Media (togetheher, the ""Websites""). It explains how we collect information from users of the Websites and how we use such information. Your use of the Websites constitutes your acceptance of this Privacy Policy. Please also read our Terms of Use , which govern the basic operation of the Websites.  ",Unspecified
173,notice,General notice on website
174,personal,No notification
175,notice by means that are reasonable under the circumstances,Other
176,by posting a notice on the Websites.,General notice on website
177,"we will provide notice by means that are reasonable under the circumstances, such as by posting a notice on the Websites.",General notice on website
178,posted to this page,General notice in privacy policy
179,The revised Privacy Policy will be posted to this page,General notice in privacy policy
180,"This Privacy Policy may be changed by Time Inc. The revised Privacy Policy will be posted to this page so that you are aware of the information we collect, how we use it, and under what circumstances we may disclose it.",General notice in privacy policy
181,"This Privacy Policy was revised Jan. 2, 2014.",General notice in privacy policy
182,"we will post those changes to this privacy policy so our users are always aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it. We suggest periodically visiting this page to review our policies and procedures.",General notice in privacy policy
183,we will post those changes to this privacy policy,General notice in privacy policy
184,"If we decide to change our privacy policies and procedures, we will post those changes to this privacy policy",General notice in privacy policy
185,"we will post the revised information here, with a revised ""effective date"" at the top of this privacy policy.",General notice in privacy policy
186,"If there are material changes to this privacy policy or in how we will use your personal information, we may notify you by other means, such as sending an email to you",Personal notice
187,"we may notify you by other means, such as sending an email to you",Personal notice
188,"we will post the revised information here, with a revised ""effective date"" at the top of this privacy policy.",No notification
189,or by posting a notice of such changes on our website.,General notice on website
190,we will post the revised information here,General notice in privacy policy
191,"If there are material changes to this privacy policy or in how we will use your personal information, we may notify you by other means, such as sending an email to you",Personal notice
192,posting a notice of such changes on our website,General notice on website
193,"This policy is current as of its last revision date. However, please note that this policy may be amended from time to time to reflect changes and additions to the privacy policy. Please check back for the most current version before relying on any of the provisions in this privacy policy.  ",Unspecified
194,Please check back for the most current version before relying on any of the provisions in this privacy policy.,General notice in privacy policy
195,"This policy is current as of its last revision date. However, please note that this policy may be amended from time to time to reflect changes and additions to the privacy policy. Please check back for the most current version before relying on any of the provisions in this privacy policy.  ",Unspecified
196,Revision Date: March 24th 2015,General notice in privacy policy
197,Revision Date: March 24th 2015,Unspecified
198,Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours.,Other
199,to send you,Personal notice
200,notify and obtain consent from a parent or guardian,Personal notice
201,"update it on this page and modify the ""LastUpdated"" date",General notice in privacy policy
202,we will provide a more prominent notice,Unspecified
203,"we will update it on this page and modify the ""LastUpdated"" date.",General notice in privacy policy
204,"If our information practices change in a significant way, we will provide a more prominent notice.",Unspecified
205,"We may revise this privacy policy from time to time and, if we do, we will update it on this page and modify the ""LastUpdated"" date. If our information practices change in a significant way, we will provide a more prominent notice.Because our privacy policy can change at any time, we encourage you to reread it periodically to see if there have been any changes that affect you.",General notice in privacy policy
206,we will update it on this page,General notice in privacy policy
207,we will provide a more prominent notice,Unspecified
208,"Last Updated: October 3, 2014 s",General notice in privacy policy
209,we will announce them,Other
210,notify you via email,Personal notice
211,we will announce them,Unspecified
212,notify you via email.,Personal notice
213,we will announce them and notify you via email,Personal notice
214,How will you know whether The Motley Fool's privacy policy has changed-,Unspecified
215,notified via email,Personal notice
216,and/or a prominent notice on our Web site,General notice on website
217,on our websites,General notice on website
218,and/or in email messages,Personal notice
219,on our websites,General notice on website
220,and/or in email messages,Personal notice
221,We encourage you to periodically review this page,General notice in privacy policy
222,on our websites and/or in email messages prior to the change becoming effective,Personal notice
223,"Last Updated: December 1st, 2014",General notice in privacy policy
224,The revised policy will be posted on the MediaNews Web site,General notice on website
225,MediaNews may change this privacy policy from time to time. The revised policy will be posted on the MediaNews Web site. Please check this page periodically for changes.  ,Unspecified
226,The revised policy will be posted on the MediaNews Web site,General notice on website
227,evised policy will be posted on the MediaNews Web site,General notice on website
228,posting the changed Privacy Policy on the Site.,General notice on website
229,we will inform you by posting the changed Privacy Policy on the Site,General notice in privacy policy
230,inform you by posting the changed Privacy Policy on the Site,General notice on website
231,Not selected,Unspecified
232,Not selected,Unspecified
233,"Last Updated: September 1, 2013",General notice in privacy policy
234,post those changes on this page,Other
235,we will post those changes on this page.,General notice in privacy policy
236,we will post those changes on this page.,General notice in privacy policy
237,"Revised May 29, 2015",General notice in privacy policy
238,Each of our customers receives a copy of our privacy policy annually.,Personal notice
239,Please take a look at the revised date at the top of this page to see when this Privacy Policy was last revised. Each of our customers receives a copy of our privacy policy annually.,General notice in privacy policy
240,Please take a look at the revised date at the top of this page to see when this Privacy Policy was last revised.,General notice in privacy policy
241,"If we make a material change to our online Privacy Statement, we will post a notice on our homepage notifying users that the policy has been revised.",General notice on website
242,we will post a notice on our homepage notifying users that the policy has been revised.,General notice on website
243,We may email reminders of our notices and conditions.,Personal notice
244,"You should frequently check our website to see recent changes to these terms and policies. Unless stated otherwise, our current privacy notice applies to all information that we have about you and your account.",General notice on website
245,We may email reminders of our notices and conditions.,Personal notice
246,"By visiting the Site(s) or using any of the Curse Features, you consent to Curse' collection, use, storage, deletion and disclosure of information relating to you as set forth in this Privacy Policy.",Unspecified
247,This Privacy Policy may change from time to time and we will post all changes on this page.,General notice in privacy policy
248,we will post all changes on this page.,General notice on website
249,and any such changes will be included on this page.,General notice in privacy policy
250,"you will be notified by email of our intentions,",Personal notice
251,"ACCEPTANCE OF THESE TERMS Your use of the Science Website shall indicate your understanding and acceptance of the terms of this Privacy Statement. If you do not agree with all of the terms herein, you should not use the Science Website or services.",Unspecified
252,"we will post those changes here so that you will always know what information we gather, how we might use that information, and to whom we will disclose it. If",General notice in privacy policy
253,"If we decide to change our Privacy Statement for the Science websites, we will post those changes here so that you will always know what information we gather, how we might use that information, and to whom we will disclose it.",General notice in privacy policy
254,Not selected,Unspecified
255,we will notify you by posting notice of the change on www.us.playstation.com or on our other websites. We will post the changes in the privacy policy,General notice on website
256,e will post the changes in the privacy policy,General notice in privacy policy
257,we will notify you by posting notice of the change on www.us.playstation.com or on our other websites.,General notice on website
258,we will notify you by posting notice of the change on www.us.playstation.com or on our other websites,General notice on website
259,"We will post the changes in the privacy policy and, if necessary, give you additional choices regarding changes.",General notice in privacy policy
260,"Effective Date: March 5, 2014",General notice in privacy policy
261,Changes to this Privacy Policy,Unspecified
262,To notify you,Unspecified
263,  To notify you about changes to our Services  ,Unspecified
264,on this page,General notice in privacy policy
265,with a notice that the Privacy Policy has been updated on the home pages of the Websites,General notice on website
266,"If we make material changes to how we treat our users information, we will notify you by e-mail to the primary e-mail address specified in your account",Personal notice
267,to post any changes we make to our Privacy Policy on this page,General notice in privacy policy
268,with a notice that the Privacy Policy has been updated on the home pages of the Websites,General notice on website
269,we will notify you by e-mail to the primary e-mail address specified in your account,Personal notice
270,and through a notice on the home pages of the Websites.,General notice on website
271,we will notify you by e-mail to the primary e-mail address specified in your account and through a notice on the home pages of the Websites,Personal notice
272,Your continued use of the Services after such modifications will constitute your: (a) acknowledgment of the modified Privacy Policy; and (b) agreement to abide and be bound by the modified Privacy Policy.  ,Unspecified
273,use of the Services after such modifications,Unspecified
274,Your continued use of the Services after such modifications will constitute your: (a) acknowledgment of the modified Privacy Policy; and (b) agreement to abide and be bound by the modified Privacy Policy.  ,Unspecified
275,we will notify parents by email in order to obtain verifiable parental consent for the new uses of their childs Personally Identifiable Information,Personal notice
276,we will notify parents by email,Personal notice
277,"Effective Date   This Privacy Policy is effective as of October 27, 2007 and will remain in effect unless changed. UpToDate may modify this Privacy Policy at any time, and such modifications shall be effective immediately upon posting of the modified Privacy Policy on the Website.  ",Unspecified
278,"Effective Date   This Privacy Policy is effective as of October 27, 2007 and will remain in effect unless changed. UpToDate may modify this Privacy Policy at any time, and such modifications shall be effective immediately upon posting of the modified Privacy Policy on the Website.  ",Unspecified
279,"Last Revised: December 23, 2013",General notice in privacy policy
280,that policy will be posted on their site.,General notice on website
281,"we will post a notice on the home page of www.cariboucoffee.com and change the date at the top of this Privacy Statement,",General notice on website
282,"If we change this Privacy Statement, we will post a notice on the home page of www.cariboucoffee.com",General notice on website
283,"and change the date at the top of this Privacy Statement,",General notice in privacy policy
284,we will post a notice on the home page of www.cariboucoffee.com,General notice on website
285,and change the date at the top of this Privacy Statement,General notice in privacy policy
286,when posted,Unspecified
287,"All changes will become effective when posted, and by continuing to use the Site following the posting of any changes, you agree to be bound by such modified Privacy Statement.  ",Unspecified
288,"The revised Privacy Policy will be posted to this page so that you are aware of the information we collect, how we use it, and under what circumstances we may disclose it.",Other
289,The revised Privacy Policy will be posted to this page,General notice in privacy policy
290,The revised Privacy Policy will be posted to this page,General notice in privacy policy
291,"This Privacy Policy was revised Jan. 2, 2014.",Unspecified
292,Chase Paymentech reserves the right to change this Privacy Statement without notice at any time,No notification
293," Modifications to Privacy Statement    We continue to review our policies and procedures to assure that they are effective in meeting our commitments to our Merchants. Chase Paymentech reserves the right to change this Privacy Statement without notice at any time and from time to time, including as needed to comply with the rules and regulations of the various debit and credit card organizations, or to comply with applicable local, state and federal laws and regulations.  ",Unspecified
294,without notice at any time and from time to time,No notification
295,Please check this page periodically for any changes.,General notice in privacy policy
296,Please check this page periodically for any changes.,General notice in privacy policy
297,Last Updated: March 2015,General notice in privacy policy
298,Please check this page periodically for changes. We will post a notice on this site if and when this policy changes to alert visitors that a new policy is in place.,General notice in privacy policy
299,We will post a notice on this site if and when this policy changes to alert visitors that a new policy is in place,General notice in privacy policy
300,We will post a notice on this site,General notice in privacy policy
301,"This Privacy Policy is effective as of February 6, 2009.",General notice in privacy policy
302,email,Personal notice
303,the changes will be posted on this page thirty (30) days prior to taking effect and will not affect children's personal information previously collected.,General notice in privacy policy
304,the changes will be posted on this page thirty (30) days prior to taking effect and will not affect children's personal information previously collected.,Other
305,they will be posted on this page.,General notice in privacy policy
306,the change will be posted on this page thirty (30) days prior to taking effect and registered users will be notified via email.,Personal notice
307,", the change will be posted on this page thirty (30) days prior to taking effect",General notice in privacy policy
308,the change will be posted on this page thirty (30) days prior to taking effect,General notice in privacy policy
309,registered users will be notified via email.,Personal notice
310,will be posted on this page.,General notice in privacy policy
311,the change will be posted on this page thirty (30) days prior to taking effect,Other
312,registered users will be notified via email,Personal notice
313,"Important Update In September 2012, we announced that Instagram had been acquired by Facebook. We knew that by teaming up with Facebook, we could build a better Instagram for you. Since then, we've been collaborating with Facebook's team on ways to do just that. As part of our new collaboration, we've learned that by being able to share insights and information with each other, we can build better experiences for our users.",General notice in privacy policy
314,"We're updating our Privacy Policy to highlight this new collaboration,",Unspecified
315,"Our new Privacy Policy is effective on January 19, 2013. To learn about how we treat information collected prior to January 19, 2013, please click here.",General notice in privacy policy
316,"Effective date: January 19, 2013",General notice on website
317,We may provide you additional forms of notice of modifications or updates as appropriate under the circumstances.,Other
318,please review it periodically.,General notice in privacy policy
319,We may provide you additional forms of notice of modifications or updates as appropriate under the circumstances.,Unspecified
320,We may provide,Unspecified
321,"we will provide you with notice of those changes and may do so by either: (1) announcing the change on the home page of our website or (2) taking other actions as we deem appropriate under the circumstances, including without limitation, posting the revised version of this Privacy Policy online.",General notice in privacy policy
322,", we will provide you with notice of those changes and may do so by either: (1) announcing the change on the home page of our website or (2) taking other actions as we deem appropriate under the circumstances, including without limitation, posting the revised version of this Privacy Policy online.",General notice on website
323,(1) announcing the change on the home page of our website,General notice on website
324,"including without limitation, posting the revised version of this Privacy Policy online",General notice in privacy policy
325,taking other actions as we deem appropriate under the circumstances,Unspecified
326,announcing the change on the home page of our website,General notice on website
327,"taking other actions as we deem appropriate under the circumstances, including without limitation, posting the revised version of this Privacy Policy online",Unspecified
328,"You can determine when this Privacy Policy was last revised by referring to the ""Last Updated"" or similar legend at the top of this page.",General notice in privacy policy
329,"Any changes to this Privacy Policy will become effective upon posting of the revised Privacy Policy on the Internet, accessible through this site.",General notice on website
330,"referring to the ""Last Updated"" or similar legend at the top of this page.",General notice in privacy policy
331,we will post the updated Privacy Policy here,General notice in privacy policy
332,notify you by email,Personal notice
333,by means of a notice on our website,General notice on website
334,post the updated Privacy Policy here and notify you by email,Personal notice
335,by means of a notice on our website.,General notice on website
336,notify you by email,Personal notice
337,by means of a notice on our website.,General notice on website
338,"y, we will post those changes to this privacy policy and other places we deem appropriate.",General notice in privacy policy
339,we will post those changes to this privacy policy and other places we deem appropriate.,General notice in privacy policy
340,we will post those changes to this privacy policy,General notice in privacy policy
341,other places we deem appropriate,Unspecified
342,we will contact you beforehand to explain the use of the information,Personal notice
343,we will contact you beforehand to explain the use of the information,Personal notice
344,email,Personal notice
345,through a prominent notice posted on the Sites,General notice on website
346,we will post those changes here,General notice in privacy policy
347,"we will post those changes here so that you will always know what information we gather, how we might use that information, and whether we will disclose it to anyone.",General notice in privacy policy
348,a prominent notice of the nature of the change will be posted on this Privacy Statement,General notice in privacy policy
349,the current subscribers will be notified as soon as possible.,Personal notice
350,the current subscribers will be notified as soon as possible.,Personal notice
351,prominent notice of the nature of the change will be posted on this Privacy Statement,General notice in privacy policy
352,a prominent notice of the nature of the change will be posted on this Privacy Statement,General notice in privacy policy
353,the current subscribers will be notified as soon as possible.,Personal notice
354,a prominent notice of the nature of the change will be posted on this Privacy Statement,General notice in privacy policy
355,the current subscribers will be notified as soon as possible.,Unspecified
356,We will post the date our Policy was last updated at the top of the Privacy Policy.,Unspecified
357,additional notice of significant updates.,Unspecified
358,We will post the date our Policy was last updated at the top of the Privacy Policy.,General notice in privacy policy
359,We will post the date our Policy was last updated at the top of the Privacy Policy.,General notice in privacy policy
360,We will provide additional notice of significant updates,Unspecified
361,We will post the date our Policy was last updated at the top of the Privacy Policy.,General notice in privacy policy
362,sending a notice to the primary email address specified in your Yahoo account,Personal notice
363,by placing a prominent notice on our site.,General notice on website
364,We will notify you about significant changes in the way we treat personal information by sending a notice to the primary email address specified in your Yahoo account,Personal notice
365,or by placing a prominent notice on our site.,General notice on website
366,sending a notice to the primary email address,Personal notice
367,"Last Updated: September 25, 2014",General notice in privacy policy
368,periodically review this page,General notice in privacy policy
369,We ask that you periodically review this page to ensure continuing familiarity with the most current version of this Web site's Privacy Policy.,General notice in privacy policy
370,Not selected,Unspecified
371,either we or the third party will post relevant privacy information in the official rules and/or registration area for the promotion or sweepstakes.,Other
372,"Effective date: July 1, 2004, Updated: December 23, 2013",General notice in privacy policy
373,we will revise the Last Updated date at the top of this Notice.,No notification
374,"If we make changes to the U.S. Online Privacy Notice, we will revise the Last Updated date at the top of this Notice",General notice in privacy policy
375,we will revise the Last Updated date at the top of this Notice.,General notice in privacy policy
376,without advance notice,No notification
377,Latin Post may provide notice of terminations or changes in services on this Site.,General notice on website
378,unless we provide advance notice of any other use.,Unspecified
379,"In such cases, we will provide to you an explanation of why access cannot be provided and contact information for further inquiries.",Personal notice
380,Notice of material changes will be posted on the Site's homepage,General notice in privacy policy
381,We reserve the right to revise this Privacy Policy at any time by posting an updated Privacy Policy without advance notice to you.,No notification
382,"Notice of material changes will be posted on the Site's homepage and/or will be provided by e-mailing you or notifying you upon login about these changes; the form of such notice is at our discretion. However, we encourage you to check this Privacy Policy and Terms of Use Agreement often for updates.",Other
383,Notice of material changes will be posted on the Site's homepage,General notice on website
384,will be provided by e-mailing you or notifying you upon login,Personal notice
385,Privacy Policy and Terms of Use Agreement,General notice in privacy policy
386,by posting an updated Privacy Policy without advance notice to you,No notification
387,"Last updated: March 25, 2015",General notice in privacy policy
